ID,Chromosome,Start,End,Length
HO1,chr1,633869,634519,650
HO2,chr1,778146,779332,1186
HO3,chr1,826595,827807,1212
HO4,chr1,869452,870256,804
HO5,chr1,903756,905651,1895
HO6,chr1,909894,911513,1619
HO7,chr1,916176,917500,1324
HO8,chr1,920457,921385,928
HO9,chr1,923465,925996,2531
HO10,chr1,939767,941055,1288
HO11,chr1,941260,942736,1476
HO12,chr1,958473,959698,1225
HO13,chr1,959935,961447,1512
HO14,chr1,966167,967356,1189
HO15,chr1,975552,976758,1206
HO16,chr1,998250,1001266,3016
HO17,chr1,1001452,1002077,625
HO18,chr1,1004920,1005708,788
HO19,chr1,1012820,1014668,1848
HO20,chr1,1019135,1021475,2340
HO21,chr1,1024575,1025576,1001
HO22,chr1,1032441,1034716,2275
HO23,chr1,1039714,1041493,1779
HO24,chr1,1058690,1059965,1275
HO25,chr1,1063686,1064527,841
HO26,chr1,1067694,1070005,2311
HO27,chr1,1079356,1080683,1327
HO28,chr1,1115641,1117002,1361
HO29,chr1,1121743,1122641,898
HO30,chr1,1127993,1129726,1733
HO31,chr1,1135853,1138123,2270
HO32,chr1,1143857,1146501,2644
HO33,chr1,1156950,1158666,1716
HO34,chr1,1173468,1174308,840
HO35,chr1,1200587,1201799,1212
HO36,chr1,1206099,1206782,683
HO37,chr1,1230766,1233226,2460
HO38,chr1,1246253,1247300,1047
HO39,chr1,1249630,1250486,856
HO40,chr1,1272831,1274771,1940
HO41,chr1,1290813,1292349,1536
HO42,chr1,1298824,1300302,1478
HO43,chr1,1304315,1305192,877
HO44,chr1,1307387,1309611,2224
HO45,chr1,1317914,1318666,752
HO46,chr1,1322250,1323168,918
HO47,chr1,1324183,1325425,1242
HO48,chr1,1334540,1335428,888
HO49,chr1,1347241,1348316,1075
HO50,chr1,1348495,1350014,1519
HO51,chr1,1354718,1356541,1823
HO52,chr1,1357747,1359016,1269
HO53,chr1,1359214,1360220,1006
HO54,chr1,1371655,1372352,697
HO55,chr1,1374381,1375734,1353
HO56,chr1,1398285,1400276,1991
HO57,chr1,1406318,1408067,1749
HO58,chr1,1419579,1420700,1121
HO59,chr1,1426617,1427936,1319
HO60,chr1,1430095,1431003,908
HO61,chr1,1433054,1434767,1713
HO62,chr1,1435251,1435934,683
HO63,chr1,1440624,1442665,2041
HO64,chr1,1461770,1463007,1237
HO65,chr1,1470591,1471962,1371
HO66,chr1,1504548,1506055,1507
HO67,chr1,1510927,1512616,1689
HO68,chr1,1535993,1537084,1091
HO69,chr1,1539221,1541126,1905
HO70,chr1,1541970,1542561,591
HO71,chr1,1573572,1575537,1965
HO72,chr1,1596782,1597939,1157
HO73,chr1,1599066,1600801,1735
HO74,chr1,1614073,1616670,2597
HO75,chr1,1628790,1632419,3629
HO76,chr1,1658526,1659525,999
HO77,chr1,1683064,1684265,1201
HO78,chr1,1692179,1693280,1101
HO79,chr1,1723834,1724777,943
HO80,chr1,1777111,1779448,2337
HO81,chr1,1782036,1783213,1177
HO82,chr1,1889781,1892330,2549
HO83,chr1,1906082,1906554,472
HO84,chr1,1908313,1909910,1597
HO85,chr1,1918392,1920158,1766
HO86,chr1,1942567,1944583,2016
HO87,chr1,1955349,1956419,1070
HO88,chr1,1959621,1960936,1315
HO89,chr1,1988344,1990735,2391
HO90,chr1,2003112,2004195,1083
HO91,chr1,2018377,2020040,1663
HO92,chr1,2025289,2026268,979
HO93,chr1,2031943,2033142,1199
HO94,chr1,2044472,2045218,746
HO95,chr1,2049298,2051620,2322
HO96,chr1,2073028,2074251,1223
HO97,chr1,2103163,2105324,2161
HO98,chr1,2132231,2134090,1859
HO99,chr1,2135092,2135892,800
HO100,chr1,2173785,2174968,1183
HO101,chr1,2189132,2190360,1228
HO102,chr1,2194358,2195512,1154
HO103,chr1,2198719,2199733,1014
HO104,chr1,2204216,2205846,1630
HO105,chr1,2207228,2207993,765
HO106,chr1,2212125,2215185,3060
HO107,chr1,2226677,2229602,2925
HO108,chr1,2229973,2230891,918
HO109,chr1,2231519,2232193,674
HO110,chr1,2237122,2237933,811
HO111,chr1,2239693,2240830,1137
HO112,chr1,2251480,2252634,1154
HO113,chr1,2278690,2279964,1274
HO114,chr1,2306408,2306944,536
HO115,chr1,2311373,2311801,428
HO116,chr1,2312276,2313449,1173
HO117,chr1,2313865,2315581,1716
HO118,chr1,2321817,2323350,1533
HO119,chr1,2330136,2331539,1403
HO120,chr1,2334588,2336460,1872
HO121,chr1,2380964,2382236,1272
HO122,chr1,2390983,2393012,2029
HO123,chr1,2404036,2405551,1515
HO124,chr1,2411838,2413681,1843
HO125,chr1,2414198,2414718,520
HO126,chr1,2430895,2431888,993
HO127,chr1,2433962,2434849,887
HO128,chr1,2441723,2444217,2494
HO129,chr1,2467761,2468378,617
HO130,chr1,2525654,2527010,1356
HO131,chr1,2529060,2529712,652
HO132,chr1,2534384,2535891,1507
HO133,chr1,2545805,2547341,1536
HO134,chr1,2547827,2549045,1218
HO135,chr1,2555368,2557633,2265
HO136,chr1,2584704,2587680,2976
HO137,chr1,2592661,2594702,2041
HO138,chr1,2610322,2611703,1381
HO139,chr1,2627847,2629641,1794
HO140,chr1,2642098,2643801,1703
HO141,chr1,2821294,2822463,1169
HO142,chr1,2855277,2857013,1736
HO143,chr1,2874446,2876573,2127
HO144,chr1,2905429,2906907,1478
HO145,chr1,2975365,2976400,1035
HO146,chr1,2984816,2985698,882
HO147,chr1,3011725,3013026,1301
HO148,chr1,3062162,3064102,1940
HO149,chr1,3068265,3070932,2667
HO150,chr1,3105033,3106110,1077
HO151,chr1,3111260,3112058,798
HO152,chr1,3119341,3120539,1198
HO153,chr1,3139386,3140923,1537
HO154,chr1,3145405,3146396,991
HO155,chr1,3169184,3171565,2381
HO156,chr1,3186056,3187073,1017
HO157,chr1,3218986,3219985,999
HO158,chr1,3221349,3222669,1320
HO159,chr1,3228858,3230055,1197
HO160,chr1,3283666,3284312,646
HO161,chr1,3291639,3292611,972
HO162,chr1,3312432,3315912,3480
HO163,chr1,3348850,3350061,1211
HO164,chr1,3351444,3353291,1847
HO165,chr1,3392910,3394488,1578
HO166,chr1,3409841,3410495,654
HO167,chr1,3423899,3425037,1138
HO168,chr1,3453120,3453628,508
HO169,chr1,3453834,3455320,1486
HO170,chr1,3460026,3460982,956
HO171,chr1,3471152,3472269,1117
HO172,chr1,3490767,3492175,1408
HO173,chr1,3501938,3502593,655
HO174,chr1,3530036,3532223,2187
HO175,chr1,3547139,3548723,1584
HO176,chr1,3590000,3591344,1344
HO177,chr1,3596654,3599121,2467
HO178,chr1,3609791,3612116,2325
HO179,chr1,3618479,3619640,1161
HO180,chr1,3623762,3625901,2139
HO181,chr1,3649462,3650274,812
HO182,chr1,3650963,3653208,2245
HO183,chr1,3668565,3669365,800
HO184,chr1,3673666,3675006,1340
HO185,chr1,3683679,3684685,1006
HO186,chr1,3695167,3696146,979
HO187,chr1,3702400,3704228,1828
HO188,chr1,3717004,3718602,1598
HO189,chr1,3745874,3747627,1753
HO190,chr1,3771120,3773656,2536
HO191,chr1,3774419,3776229,1810
HO192,chr1,3783449,3784410,961
HO193,chr1,3784931,3785761,830
HO194,chr1,3795239,3797108,1869
HO195,chr1,3800988,3801692,704
HO196,chr1,3856285,3858845,2560
HO197,chr1,3899556,3901592,2036
HO198,chr1,3910637,3911988,1351
HO199,chr1,3924099,3925319,1220
HO200,chr1,4604955,4605919,964
HO201,chr1,4637669,4638625,956
HO202,chr1,4654002,4656721,2719
HO203,chr1,4710701,4712477,1776
HO204,chr1,5620727,5621512,785
HO205,chr1,5652004,5653107,1103
HO206,chr1,5691825,5693571,1746
HO207,chr1,5704083,5705247,1164
HO208,chr1,5744311,5746169,1858
HO209,chr1,5770715,5771755,1040
HO210,chr1,5810753,5812007,1254
HO211,chr1,5846901,5847669,768
HO212,chr1,5966421,5968046,1625
HO213,chr1,5980020,5981284,1264
HO214,chr1,5990916,5993574,2658
HO215,chr1,6001796,6003567,1771
HO216,chr1,6006696,6007958,1262
HO217,chr1,6033818,6036033,2215
HO218,chr1,6052152,6053413,1261
HO219,chr1,6058393,6059221,828
HO220,chr1,6092032,6093409,1377
HO221,chr1,6148301,6149204,903
HO222,chr1,6161014,6162039,1025
HO223,chr1,6178942,6181694,2752
HO224,chr1,6198213,6200158,1945
HO225,chr1,6204688,6206585,1897
HO226,chr1,6208634,6209531,897
HO227,chr1,6234485,6236690,2205
HO228,chr1,6244879,6245668,789
HO229,chr1,6246588,6247091,503
HO230,chr1,6248859,6249993,1134
HO231,chr1,6259594,6262060,2466
HO232,chr1,6267942,6270368,2426
HO233,chr1,6275838,6277087,1249
HO234,chr1,6328926,6331227,2301
HO235,chr1,6343116,6343952,836
HO236,chr1,6350246,6350821,575
HO237,chr1,6351692,6352518,826
HO238,chr1,6358463,6360272,1809
HO239,chr1,6363078,6363750,672
HO240,chr1,6384756,6386220,1464
HO241,chr1,6392041,6394231,2190
HO242,chr1,6418838,6420949,2111
HO243,chr1,6423262,6424337,1075
HO244,chr1,6439948,6441009,1061
HO245,chr1,6446952,6449498,2546
HO246,chr1,6454234,6456371,2137
HO247,chr1,6459799,6461760,1961
HO248,chr1,6484909,6486781,1872
HO249,chr1,6489748,6492141,2393
HO250,chr1,6496296,6498123,1827
HO251,chr1,6501724,6502911,1187
HO252,chr1,6508735,6509608,873
HO253,chr1,6510947,6512634,1687
HO254,chr1,6519350,6520557,1207
HO255,chr1,6553588,6554810,1222
HO256,chr1,6579196,6581224,2028
HO257,chr1,6586432,6587754,1322
HO258,chr1,6600823,6604393,3570
HO259,chr1,6612581,6615750,3169
HO260,chr1,6624539,6626104,1565
HO261,chr1,6634285,6635311,1026
HO262,chr1,6645989,6646927,938
HO263,chr1,6650871,6652416,1545
HO264,chr1,6700707,6702286,1579
HO265,chr1,6724252,6725397,1145
HO266,chr1,6783911,6786580,2669
HO267,chr1,6911896,6913081,1185
HO268,chr1,6934543,6936614,2071
HO269,chr1,6954220,6955209,989
HO270,chr1,6960147,6961305,1158
HO271,chr1,6961794,6963829,2035
HO272,chr1,7042288,7043161,873
HO273,chr1,7046058,7046697,639
HO274,chr1,7069625,7071214,1589
HO275,chr1,7185070,7187368,2298
HO276,chr1,7333310,7335628,2318
HO277,chr1,7340948,7342055,1107
HO278,chr1,7378912,7380095,1183
HO279,chr1,7387398,7390111,2713
HO280,chr1,7454675,7455980,1305
HO281,chr1,7469217,7470065,848
HO282,chr1,7500392,7502636,2244
HO283,chr1,7529839,7530440,601
HO284,chr1,7536146,7537740,1594
HO285,chr1,7557130,7559632,2502
HO286,chr1,7585675,7586797,1122
HO287,chr1,7586836,7588119,1283
HO288,chr1,7616112,7617535,1423
HO289,chr1,7645250,7645868,618
HO290,chr1,7667373,7667945,572
HO291,chr1,7668261,7670471,2210
HO292,chr1,7679577,7681308,1731
HO293,chr1,7703726,7705966,2240
HO294,chr1,7752190,7753368,1178
HO295,chr1,7770696,7772062,1366
HO296,chr1,7783160,7784898,1738
HO297,chr1,7942076,7942756,680
HO298,chr1,7953604,7954680,1076
HO299,chr1,7960518,7962266,1748
HO300,chr1,7974915,7975626,711
HO301,chr1,8004063,8005505,1442
HO302,chr1,8025189,8027181,1992
HO303,chr1,8166376,8167635,1259
