chromosome,start,end,peaks,peak_count,producer
chr1,633869,634519,"HO1_PG,HO1_XX,HO2_PS",3,"PG+PS, PG+XX"
chr1,869370,870256,"HO4_PG,HO4_XX,HO5_PS",3,"PG+PS, PG+XX"
chr1,920457,921390,"HO6_PG,HO8_PS,HO8_XX",3,"PG+PS, PG+XX"
chr1,975552,976758,"HO12_PG,HO14_PS,HO15_XX",3,"PG+PS, PG+XX"
chr1,1001452,1002093,"HO14_PG,HO17_PS,HO17_XX",3,"PG+PS, PG+XX"
chr1,1012733,1014668,"HO16_PG,HO19_PS,HO19_XX",3,"PG+PS, PG+XX"
chr1,1121721,1122641,"HO26_PG,HO28_PS,HO29_XX",3,"PG+PS, PG+XX"
chr1,1127896,1129726,"HO27_PG,HO29_PS,HO30_XX",3,"PG+PS, PG+XX"
chr1,1156930,1158730,"HO29_PG,HO30_PS,HO33_XX",3,"PG+PS, PG+XX"
chr1,1290813,1292379,"HO33_PG,HO36_PS,HO41_XX",3,"PG+PS, PG+XX"
chr1,1304315,1305192,"HO35_PG,HO37_PS,HO43_XX",3,"PG+PS, PG+XX"
chr1,1347241,1348316,"HO39_PG,HO40_PS,HO49_XX",3,"PG+PS, PG+XX"
chr1,1371655,1372360,"HO42_PG,HO42_PS,HO54_XX",3,"PG+PS, PG+XX"
chr1,1430046,1431003,"HO46_PS,HO47_PG,HO60_XX",3,"PG+PS, PG+XX"
chr1,1433054,1434767,"HO47_PS,HO48_PG,HO48_PS,HO61_XX",4,"PG+PS, PG+XX"
chr1,1440624,1442665,"HO50_PG,HO50_PS,HO63_XX",3,"PG+PS, PG+XX"
chr1,1599066,1600801,"HO57_PG,HO57_PS,HO73_XX",3,"PG+PS, PG+XX"
chr1,1692179,1693281,"HO61_PG,HO61_PS,HO78_XX",3,"PG+PS, PG+XX"
chr1,1906026,1906554,"HO66_PG,HO66_PS,HO83_XX",3,"PG+PS, PG+XX"
chr1,1942567,1944583,"HO69_PG,HO69_PS,HO86_XX",3,"PG+PS, PG+XX"
chr1,1959621,1960936,"HO70_PG,HO71_PS,HO88_XX",3,"PG+PS, PG+XX"
chr1,2003112,2004519,"HO72_PG,HO73_PS,HO90_XX",3,"PG+PS, PG+XX"
chr1,2044417,2045218,"HO75_PG,HO75_PS,HO94_XX",3,"PG+PS, PG+XX"
chr1,2103163,2105352,"HO77_PG,HO77_PS,HO97_XX",3,"PG+PS, PG+XX"
chr1,2404036,2405551,"HO123_XX,HO94_PG,HO94_PS",3,"PG+PS, PG+XX"
chr1,2441723,2444217,"HO128_XX,HO96_PG,HO96_PS",3,"PG+PS, PG+XX"
chr1,2545805,2547341,"HO101_PS,HO133_XX,HO99_PG",3,"PG+PS, PG+XX"
chr1,3139256,3140923,"HO107_PS,HO112_PG,HO153_XX",3,"PG+PS, PG+XX"
chr1,3145277,3146396,"HO108_PS,HO113_PG,HO154_XX",3,"PG+PS, PG+XX"
chr1,3452965,3453628,"HO117_PS,HO121_PG,HO168_XX",3,"PG+PS, PG+XX"
chr1,3459590,3461033,"HO119_PS,HO123_PG,HO170_XX",3,"PG+PS, PG+XX"
chr1,3490297,3492175,"HO120_PS,HO124_PG,HO172_XX",3,"PG+PS, PG+XX"
chr1,3650963,3653208,"HO125_PS,HO131_PG,HO182_XX",3,"PG+PS, PG+XX"
chr1,3668555,3669365,"HO126_PS,HO132_PG,HO183_XX",3,"PG+PS, PG+XX"
chr1,3784786,3785761,"HO131_PS,HO138_PG,HO193_XX",3,"PG+PS, PG+XX"
chr1,3910625,3911988,"HO135_PS,HO143_PG,HO198_XX",3,"PG+PS, PG+XX"
chr1,5691825,5693571,"HO139_PS,HO147_PG,HO206_XX",3,"PG+PS, PG+XX"
chr1,5744311,5746169,"HO141_PS,HO148_PG,HO208_XX",3,"PG+PS, PG+XX"
chr1,6001796,6003567,"HO145_PS,HO153_PG,HO215_XX",3,"PG+PS, PG+XX"
chr1,6052152,6053413,"HO147_PS,HO155_PG,HO218_XX",3,"PG+PS, PG+XX"
chr1,6358463,6360272,"HO157_PS,HO168_PG,HO238_XX",3,"PG+PS, PG+XX"
chr1,6362871,6363750,"HO158_PS,HO169_PG,HO239_XX",3,"PG+PS, PG+XX"
chr1,6501724,6502911,"HO164_PS,HO178_PG,HO251_XX",3,"PG+PS, PG+XX"
chr1,6586340,6587754,"HO168_PS,HO184_PG,HO257_XX",3,"PG+PS, PG+XX"
chr1,6724053,6725397,"HO174_PS,HO190_PG,HO265_XX",3,"PG+PS, PG+XX"
chr1,6954152,6955209,"HO179_PS,HO193_PG,HO269_XX",3,"PG+PS, PG+XX"
chr1,7069596,7071214,"HO182_PS,HO196_PG,HO274_XX",3,"PG+PS, PG+XX"
chr1,7387398,7390134,"HO184_PS,HO200_PG,HO279_XX",3,"PG+PS, PG+XX"
chr1,8003920,8005537,"HO195_PS,HO217_PG,HO301_XX",3,"PG+PS, PG+XX"
chr1,8216721,8217884,"HO197_PS,HO220_PG,HO306_XX",3,"PG+PS, PG+XX"
chr1,8314062,8314795,"HO198_PS,HO221_PG,HO308_XX",3,"PG+PS, PG+XX"
chr1,8317584,8318800,"HO199_PS,HO222_PG,HO309_XX",3,"PG+PS, PG+XX"
chr1,8395347,8398177,"HO200_PS,HO223_PG,HO312_XX",3,"PG+PS, PG+XX"
chr1,8848526,8849387,"HO208_PS,HO236_PG,HO327_XX",3,"PG+PS, PG+XX"
chr1,8889303,8890768,"HO211_PS,HO239_PG,HO330_XX",3,"PG+PS, PG+XX"
chr1,8938274,8940000,"HO212_PS,HO240_PG,HO331_XX",3,"PG+PS, PG+XX"
chr1,9241878,9243088,"HO221_PS,HO246_PG,HO342_XX",3,"PG+PS, PG+XX"
chr1,9626776,9627826,"HO234_PS,HO257_PG,HO363_XX",3,"PG+PS, PG+XX"
chr1,9792054,9792975,"HO238_PS,HO261_PG,HO368_XX",3,"PG+PS, PG+XX"
chr1,9996390,9998192,"HO243_PS,HO267_PG,HO376_XX",3,"PG+PS, PG+XX"
chr1,10494155,10496441,"HO254_PS,HO275_PG,HO385_XX",3,"PG+PS, PG+XX"
chr1,10685545,10688219,"HO257_PS,HO281_PG,HO391_XX",3,"PG+PS, PG+XX"
chr1,10755118,10756515,"HO259_PS,HO284_PG,HO396_XX",3,"PG+PS, PG+XX"
chr1,11858581,11859864,"HO278_PS,HO315_PG,HO439_XX",3,"PG+PS, PG+XX"
chr1,12433084,12435130,"HO288_PS,HO332_PG,HO462_XX",3,"PG+PS, PG+XX"
chr1,15370541,15372341,"HO308_PS,HO352_PG,HO498_XX",3,"PG+PS, PG+XX"
chr1,15426586,15427730,"HO311_PS,HO354_PG,HO502_XX",3,"PG+PS, PG+XX"
chr1,15683422,15685281,"HO317_PS,HO359_PG,HO508_XX",3,"PG+PS, PG+XX"
chr1,15740921,15741791,"HO318_PS,HO361_PG,HO510_XX",3,"PG+PS, PG+XX"
chr1,16012554,16013629,"HO325_PS,HO368_PG,HO521_XX",3,"PG+PS, PG+XX"
chr1,16032154,16033353,"HO327_PS,HO371_PG,HO525_XX",3,"PG+PS, PG+XX"
chr1,16072817,16074125,"HO330_PS,HO374_PG,HO529_XX",3,"PG+PS, PG+XX"
chr1,16078690,16079664,"HO331_PS,HO375_PG,HO530_XX",3,"PG+PS, PG+XX"
chr1,16143696,16144393,"HO334_PS,HO376_PG,HO534_XX",3,"PG+PS, PG+XX"
chr1,16215841,16216624,"HO340_PS,HO383_PG",2,PG+PS
chr1,16226235,16227314,"HO342_PS,HO385_PG,HO544_XX",3,"PG+PS, PG+XX"
chr1,16620651,16621520,"HO350_PS,HO396_PG,HO556_XX",3,"PG+PS, PG+XX"
chr1,16951363,16952043,"HO357_PS,HO404_PG,HO566_XX",3,"PG+PS, PG+XX"
chr1,16966877,16967690,"HO359_PS,HO406_PG,HO568_XX",3,"PG+PS, PG+XX"
chr1,18883698,18884486,"HO366_PS,HO427_PG,HO603_XX",3,"PG+PS, PG+XX"
chr1,19425826,19427790,"HO379_PS,HO434_PG,HO618_XX",3,"PG+PS, PG+XX"
chr1,19650328,19651480,"HO383_PS,HO440_PG,HO625_XX",3,"PG+PS, PG+XX"
chr1,19653401,19654149,"HO384_PS,HO441_PG,HO626_XX",3,"PG+PS, PG+XX"
chr1,19704208,19704950,"HO386_PS,HO444_PG,HO630_XX",3,"PG+PS, PG+XX"
chr1,19715140,19716031,"HO387_PS,HO445_PG,HO632_XX",3,"PG+PS, PG+XX"
chr1,19798997,19800606,"HO388_PS,HO448_PG,HO635_XX",3,"PG+PS, PG+XX"
chr1,19981166,19982632,"HO392_PS,HO456_PG,HO643_XX",3,"PG+PS, PG+XX"
chr1,20151774,20152868,"HO393_PS,HO457_PG,HO646_XX",3,"PG+PS, PG+XX"
chr1,20365727,20367509,"HO396_PS,HO462_PG,HO654_XX",3,"PG+PS, PG+XX"
chr1,21318131,21319884,"HO415_PS,HO480_PG,HO678_XX",3,"PG+PS, PG+XX"
chr1,21368113,21369015,"HO419_PS,HO485_PG,HO684_XX",3,"PG+PS, PG+XX"
chr1,21558150,21560349,"HO422_PS,HO488_PG,HO690_XX",3,"PG+PS, PG+XX"
chr1,21929679,21930532,"HO430_PS,HO498_PG,HO706_XX",3,"PG+PS, PG+XX"
chr1,22420253,22420823,"HO435_PS,HO514_PG,HO730_XX",3,"PG+PS, PG+XX"
