chromosome,start,end,peaks,peak_count,producer
chr1,1745567,1746560,HO40_XY,1,only XY
chr1,8869058,8869872,HO126_XY,1,only XY
chr1,168613080,168614235,HO1345_XY,1,only XY
chr1,191065309,191066232,HO1433_XY,1,only XY
chr1,246835662,246836740,HO1777_XY,1,only XY
chr10,75612767,75614661,HO2154_XY,1,only XY
chr11,32555832,32556898,HO2759_XY,1,only XY
chr11,86930784,86933104,HO3278_XY,1,only XY
chr11,97118485,97119558,HO3316_XY,1,only XY
chr11,111694385,111695254,HO3356_XY,1,only XY
chr11,127806054,127808272,HO3515_XY,1,only XY
chr12,3919821,3921219,HO3593_XY,1,only XY
chr12,32577257,32578021,HO3774_XY,1,only XY
chr12,51262556,51263242,HO3893_XY,1,only XY
chr13,96792229,96793592,HO4704_XY,1,only XY
chr14,23749930,23750676,HO4851_XY,1,only XY
chr14,89912272,89913206,HO5205_XY,1,only XY
chr14,95700709,95702865,HO5248_XY,1,only XY
chr15,29124108,29125397,HO5402_XY,1,only XY
chr15,37035020,37036409,HO5434_XY,1,only XY
chr15,95363514,95364278,HO5940_XY,1,only XY
chr15,95451718,95452396,HO5941_XY,1,only XY
chr16,73037293,73038419,HO6579_XY,1,only XY
chr16,81784003,81785135,HO6626_XY,1,only XY
chr17,1471822,1472592,HO6754_XY,1,only XY
chr18,3790404,3791484,HO7870_XY,1,only XY
chr19,48967287,48968268,HO9188_XY,1,only XY
chr19,55113096,55114019,HO9338_XY,1,only XY
chr2,32832203,32833268,HO9664_XY,1,only XY
chr2,66701843,66702823,HO9825_XY,1,only XY
chr2,162966943,162967662,HO10246_XY,1,only XY
chr2,165549052,165550137,HO10252_XY,1,only XY
chr2,202035434,202035828,HO10418_XY,1,only XY
chr2,236939486,236940516,HO10613_XY,1,only XY
chr20,62236613,62237501,HO11092_XY,1,only XY
chr21,36254139,36255097,HO11218_XY,1,only XY
chr22,43953634,43954184,HO11670_XY,1,only XY
chr3,73570944,73571943,HO12195_XY,1,only XY
chr3,81518908,81519512,HO12210_XY,1,only XY
chr4,21001112,21002595,"HO12845_XY,HO19741_PG",2,"only PG, only XY"
chr4,29466707,29468045,HO12865_XY,1,only XY
chr5,20610547,20611168,HO13433_XY,1,only XY
chr5,125559024,125559708,HO13750_XY,1,only XY
chr6,26327411,26328614,HO14317_XY,1,only XY
chr6,26556376,26557015,HO14330_XY,1,only XY
chr6,27591540,27593325,HO14351_XY,1,only XY
chr6,27671942,27672624,HO14355_XY,1,only XY
chr6,28988378,28989289,HO14407_XY,1,only XY
chr6,102981401,102982320,HO14829_XY,1,only XY
chr6,107689844,107692905,HO14848_XY,1,only XY
chr6,152720805,152721838,HO15033_XY,1,only XY
chr6,159777294,159778886,HO15063_XY,1,only XY
chr7,74279328,74280903,HO15494_XY,1,only XY
chr7,92177176,92177835,HO15560_XY,1,only XY
chr7,138890421,138892347,HO15831_XY,1,only XY
chr8,17097603,17098354,HO16032_XY,1,only XY
chr8,38153646,38154378,HO16181_XY,1,only XY
chr8,60225459,60226871,HO16269_XY,1,only XY
chr9,106535267,106536790,HO17012_XY,1,only XY
chr9,109020192,109021444,HO17024_XY,1,only XY
chrY,6910286,6911910,HO17848_XY,1,only XY
