chromosome,start,end,peaks,peak_count,producer
chr1,2891563,2892768,HO108_PG,1,only PG
chr1,3557036,3557980,HO126_PG,1,only PG
chr1,6127418,6128199,HO157_PG,1,only PG
chr1,6958338,6959353,HO194_PG,1,only PG
chr1,7490835,7492366,HO202_PG,1,only PG
chr1,10539062,10540960,HO278_PG,1,only PG
chr1,11361809,11363276,HO300_PG,1,only PG
chr1,12598612,12599513,HO337_PG,1,only PG
chr1,16375262,16376342,HO391_PG,1,only PG
chr1,17022222,17024580,HO411_PG,1,only PG
chr1,17927537,17928396,HO420_PG,1,only PG
chr1,18511173,18512258,HO426_PG,1,only PG
chr1,19504288,19506103,HO437_PG,1,only PG
chr1,20186896,20188462,HO459_PG,1,only PG
chr1,38335753,38337495,HO896_PG,1,only PG
chr1,40308073,40308937,HO932_PG,1,only PG
chr1,44019220,44020382,HO1015_PG,1,only PG
chr1,44866940,44868104,HO1043_PG,1,only PG
chr1,48024707,48025659,HO1110_PG,1,only PG
chr1,55211103,55211746,HO1192_PG,1,only PG
chr1,56551376,56552140,HO1197_PG,1,only PG
chr1,60621068,60622905,HO1224_PG,1,only PG
chr1,61115817,61116946,HO1233_PG,1,only PG
chr1,61192401,61193433,HO1236_PG,1,only PG
chr1,62312454,62313337,HO1245_PG,1,only PG
chr1,64171536,64174331,HO1257_PG,1,only PG
chr1,71018790,71020162,HO1307_PG,1,only PG
chr1,76021097,76022152,HO1321_PG,1,only PG
chr1,77489344,77490497,HO1326_PG,1,only PG
chr1,81141905,81143611,HO1339_PG,1,only PG
chr1,81463242,81464725,HO1341_PG,1,only PG
chr1,85137068,85138094,HO1361_PG,1,only PG
chr1,87292628,87294269,HO1381_PG,1,only PG
chr1,87560235,87561547,HO1385_PG,1,only PG
chr1,91791892,91793136,HO1418_PG,1,only PG
chr1,100357630,100358495,HO1494_PG,1,only PG
chr1,100360579,100361253,HO1495_PG,1,only PG
chr1,108070343,108071874,HO1514_PG,1,only PG
chr1,109342302,109343624,HO1536_PG,1,only PG
chr1,109631943,109633212,HO1550_PG,1,only PG
chr1,117215820,117217065,HO1661_PG,1,only PG
chr1,153955613,153956240,HO1846_PG,1,only PG
