chromosome,start,end,peaks,peak_count,producer
chr1,633869,634519,"HO1_PG,HO1_XX,HO2_PS",3,"PG+PS, PG+XX"
chr1,869370,870256,"HO4_PG,HO4_XX,HO5_PS",3,"PG+PS, PG+XX"
chr1,920457,921390,"HO6_PG,HO8_PS,HO8_XX",3,"PG+PS, PG+XX"
chr1,941260,942736,"HO11_XX,HO9_PG",2,PG+XX
chr1,975552,976758,"HO12_PG,HO14_PS,HO15_XX",3,"PG+PS, PG+XX"
chr1,1001452,1002093,"HO14_PG,HO17_PS,HO17_XX",3,"PG+PS, PG+XX"
chr1,1012733,1014668,"HO16_PG,HO19_PS,HO19_XX",3,"PG+PS, PG+XX"
chr1,1024575,1025576,"HO18_PG,HO21_XX",2,PG+XX
chr1,1121721,1122641,"HO26_PG,HO28_PS,HO29_XX",3,"PG+PS, PG+XX"
chr1,1127896,1129726,"HO27_PG,HO29_PS,HO30_XX",3,"PG+PS, PG+XX"
chr1,1135853,1138123,"HO28_PG,HO31_XX",2,PG+XX
chr1,1156930,1158730,"HO29_PG,HO30_PS,HO33_XX",3,"PG+PS, PG+XX"
chr1,1200587,1201809,"HO19_XY,HO30_PG,HO35_XX",3,"XX+XY, PG+XX"
chr1,1290813,1292379,"HO33_PG,HO36_PS,HO41_XX",3,"PG+PS, PG+XX"
chr1,1298824,1300302,"HO34_PG,HO42_XX",2,PG+XX
chr1,1304315,1305192,"HO35_PG,HO37_PS,HO43_XX",3,"PG+PS, PG+XX"
chr1,1334540,1335428,"HO38_PG,HO48_XX",2,PG+XX
chr1,1347241,1348316,"HO39_PG,HO40_PS,HO49_XX",3,"PG+PS, PG+XX"
chr1,1357738,1359165,"HO25_XY,HO41_PG,HO52_XX",3,"XX+XY, PG+XX"
chr1,1371655,1372360,"HO42_PG,HO42_PS,HO54_XX",3,"PG+PS, PG+XX"
chr1,1426617,1427936,"HO46_PG,HO59_XX",2,PG+XX
chr1,1430046,1431003,"HO46_PS,HO47_PG,HO60_XX",3,"PG+PS, PG+XX"
chr1,1433054,1434767,"HO47_PS,HO48_PG,HO48_PS,HO61_XX",4,"PG+PS, PG+XX"
chr1,1440624,1442665,"HO50_PG,HO50_PS,HO63_XX",3,"PG+PS, PG+XX"
chr1,1599066,1600801,"HO57_PG,HO57_PS,HO73_XX",3,"PG+PS, PG+XX"
chr1,1628790,1632419,"HO37_XY,HO59_PG,HO75_XX",3,"XX+XY, PG+XX"
chr1,1692179,1693281,"HO61_PG,HO61_PS,HO78_XX",3,"PG+PS, PG+XX"
chr1,1782036,1783213,"HO64_PG,HO81_XX",2,PG+XX
chr1,1906026,1906554,"HO66_PG,HO66_PS,HO83_XX",3,"PG+PS, PG+XX"
chr1,1942567,1944583,"HO69_PG,HO69_PS,HO86_XX",3,"PG+PS, PG+XX"
chr1,1959621,1960936,"HO70_PG,HO71_PS,HO88_XX",3,"PG+PS, PG+XX"
chr1,2003112,2004519,"HO72_PG,HO73_PS,HO90_XX",3,"PG+PS, PG+XX"
chr1,2025289,2026268,"HO74_PG,HO92_XX",2,PG+XX
chr1,2044417,2045218,"HO75_PG,HO75_PS,HO94_XX",3,"PG+PS, PG+XX"
chr1,2103163,2105352,"HO77_PG,HO77_PS,HO97_XX",3,"PG+PS, PG+XX"
chr1,2198719,2199733,"HO103_XX,HO81_PG",2,PG+XX
chr1,2229973,2230940,"HO108_XX,HO55_XY,HO85_PG",3,"XX+XY, PG+XX"
chr1,2231519,2232193,"HO109_XX,HO86_PG",2,PG+XX
chr1,2251480,2252634,"HO112_XX,HO87_PG",2,PG+XX
chr1,2278690,2279964,"HO113_XX,HO56_XY,HO88_PG",3,"XX+XY, PG+XX"
chr1,2334588,2336460,"HO120_XX,HO92_PG",2,PG+XX
chr1,2404036,2405551,"HO123_XX,HO94_PG,HO94_PS",3,"PG+PS, PG+XX"
chr1,2441723,2444217,"HO128_XX,HO96_PG,HO96_PS",3,"PG+PS, PG+XX"
chr1,2534384,2535891,"HO132_XX,HO98_PG",2,PG+XX
chr1,2545805,2547341,"HO101_PS,HO133_XX,HO99_PG",3,"PG+PS, PG+XX"
chr1,2555368,2557633,"HO100_PG,HO135_XX",2,PG+XX
chr1,2592661,2594702,"HO102_PG,HO137_XX",2,PG+XX
chr1,2627847,2629817,"HO103_PG,HO139_XX,HO64_XY",3,"XX+XY, PG+XX"
chr1,2821294,2822463,"HO105_PG,HO141_XX",2,PG+XX
chr1,2855277,2857013,"HO106_PG,HO142_XX",2,PG+XX
chr1,2874446,2876573,"HO107_PG,HO143_XX",2,PG+XX
chr1,3105033,3106110,"HO110_PG,HO150_XX",2,PG+XX
chr1,3111260,3112058,"HO111_PG,HO151_XX",2,PG+XX
chr1,3139256,3140923,"HO107_PS,HO112_PG,HO153_XX",3,"PG+PS, PG+XX"
chr1,3145277,3146396,"HO108_PS,HO113_PG,HO154_XX",3,"PG+PS, PG+XX"
chr1,3392910,3394488,"HO119_PG,HO165_XX",2,PG+XX
chr1,3423899,3425037,"HO120_PG,HO167_XX",2,PG+XX
chr1,3452965,3453628,"HO117_PS,HO121_PG,HO168_XX",3,"PG+PS, PG+XX"
chr1,3459590,3461033,"HO119_PS,HO123_PG,HO170_XX",3,"PG+PS, PG+XX"
chr1,3490297,3492175,"HO120_PS,HO124_PG,HO172_XX",3,"PG+PS, PG+XX"
chr1,3618479,3619640,"HO128_PG,HO179_XX",2,PG+XX
chr1,3650963,3653208,"HO125_PS,HO131_PG,HO182_XX",3,"PG+PS, PG+XX"
chr1,3668555,3669365,"HO126_PS,HO132_PG,HO183_XX",3,"PG+PS, PG+XX"
chr1,3717004,3718602,"HO133_PG,HO188_XX",2,PG+XX
chr1,3783449,3784410,"HO137_PG,HO192_XX",2,PG+XX
chr1,3784786,3785761,"HO131_PS,HO138_PG,HO193_XX",3,"PG+PS, PG+XX"
chr1,3800988,3801692,"HO140_PG,HO195_XX",2,PG+XX
chr1,3910625,3911988,"HO135_PS,HO143_PG,HO198_XX",3,"PG+PS, PG+XX"
chr1,3924099,3925319,"HO144_PG,HO199_XX",2,PG+XX
chr1,4604955,4605919,"HO145_PG,HO200_XX",2,PG+XX
chr1,4654002,4656746,"HO146_PG,HO202_XX,HO83_XY",3,"XX+XY, PG+XX"
chr1,5691825,5693571,"HO139_PS,HO147_PG,HO206_XX",3,"PG+PS, PG+XX"
chr1,5744311,5746169,"HO141_PS,HO148_PG,HO208_XX",3,"PG+PS, PG+XX"
chr1,5810753,5812007,"HO149_PG,HO210_XX",2,PG+XX
chr1,5980020,5981284,"HO151_PG,HO213_XX",2,PG+XX
chr1,6001796,6003567,"HO145_PS,HO153_PG,HO215_XX",3,"PG+PS, PG+XX"
chr1,6052152,6053413,"HO147_PS,HO155_PG,HO218_XX",3,"PG+PS, PG+XX"
chr1,6058393,6059221,"HO156_PG,HO219_XX",2,PG+XX
chr1,6148301,6149204,"HO158_PG,HO221_XX",2,PG+XX
chr1,6248859,6249993,"HO165_PG,HO230_XX",2,PG+XX
chr1,6358463,6360272,"HO157_PS,HO168_PG,HO238_XX",3,"PG+PS, PG+XX"
chr1,6362871,6363750,"HO158_PS,HO169_PG,HO239_XX",3,"PG+PS, PG+XX"
chr1,6418838,6420949,"HO171_PG,HO242_XX",2,PG+XX
chr1,6446952,6449498,"HO173_PG,HO245_XX",2,PG+XX
chr1,6454234,6456371,"HO174_PG,HO246_XX,HO97_XY",3,"XX+XY, PG+XX"
chr1,6501724,6502911,"HO164_PS,HO178_PG,HO251_XX",3,"PG+PS, PG+XX"
chr1,6508735,6509608,"HO179_PG,HO252_XX",2,PG+XX
chr1,6510947,6512634,"HO180_PG,HO253_XX",2,PG+XX
chr1,6519350,6520557,"HO181_PG,HO254_XX",2,PG+XX
chr1,6586340,6587754,"HO168_PS,HO184_PG,HO257_XX",3,"PG+PS, PG+XX"
chr1,6650871,6652416,"HO188_PG,HO263_XX",2,PG+XX
chr1,6724053,6725397,"HO174_PS,HO190_PG,HO265_XX",3,"PG+PS, PG+XX"
chr1,6934543,6936614,"HO192_PG,HO268_XX",2,PG+XX
chr1,6954152,6955209,"HO179_PS,HO193_PG,HO269_XX",3,"PG+PS, PG+XX"
chr1,7069596,7071214,"HO182_PS,HO196_PG,HO274_XX",3,"PG+PS, PG+XX"
chr1,7185070,7187368,"HO197_PG,HO275_XX",2,PG+XX
chr1,7333310,7335628,"HO198_PG,HO276_XX",2,PG+XX
chr1,7340948,7342055,"HO199_PG,HO277_XX",2,PG+XX
chr1,7387398,7390134,"HO184_PS,HO200_PG,HO279_XX",3,"PG+PS, PG+XX"
chr1,7454675,7455980,"HO201_PG,HO280_XX",2,PG+XX
chr1,7500392,7502636,"HO203_PG,HO282_XX",2,PG+XX
chr1,7557130,7559632,"HO205_PG,HO285_XX",2,PG+XX
chr1,7585675,7586797,"HO206_PG,HO286_XX",2,PG+XX
chr1,7752190,7753368,"HO211_PG,HO294_XX",2,PG+XX
chr1,7974915,7975626,"HO216_PG,HO300_XX",2,PG+XX
chr1,8003920,8005537,"HO195_PS,HO217_PG,HO301_XX",3,"PG+PS, PG+XX"
chr1,8201901,8202919,"HO219_PG,HO305_XX",2,PG+XX
chr1,8216721,8217884,"HO197_PS,HO220_PG,HO306_XX",3,"PG+PS, PG+XX"
chr1,8314062,8314795,"HO198_PS,HO221_PG,HO308_XX",3,"PG+PS, PG+XX"
