ID,Chromosome,Start,End,Length
pre_xx_1,chr1,633869,634519,650
pre_xx_2,chr1,778146,779332,1186
pre_xx_3,chr1,826595,827807,1212
pre_xx_4,chr1,869452,870256,804
pre_xx_5,chr1,903756,905651,1895
pre_xx_6,chr1,909894,911513,1619
pre_xx_7,chr1,916176,917500,1324
pre_xx_8,chr1,920457,921385,928
pre_xx_9,chr1,923465,925996,2531
pre_xx_10,chr1,939767,941055,1288
pre_xx_11,chr1,941260,942736,1476
pre_xx_12,chr1,958473,959698,1225
pre_xx_13,chr1,959935,961447,1512
pre_xx_14,chr1,966167,967356,1189
pre_xx_15,chr1,975552,976758,1206
pre_xx_16,chr1,998250,1001266,3016
pre_xx_17,chr1,1001452,1002077,625
pre_xx_18,chr1,1004920,1005708,788
pre_xx_19,chr1,1012820,1014668,1848
pre_xx_20,chr1,1019135,1021475,2340
pre_xx_21,chr1,1024575,1025576,1001
pre_xx_22,chr1,1032441,1034716,2275
pre_xx_23,chr1,1039714,1041493,1779
pre_xx_24,chr1,1058690,1059965,1275
pre_xx_25,chr1,1063686,1064527,841
pre_xx_26,chr1,1067694,1070005,2311
pre_xx_27,chr1,1079356,1080683,1327
pre_xx_28,chr1,1115641,1117002,1361
pre_xx_29,chr1,1121743,1122641,898
pre_xx_30,chr1,1127993,1129726,1733
pre_xx_31,chr1,1135853,1138123,2270
pre_xx_32,chr1,1143857,1146501,2644
pre_xx_33,chr1,1156950,1158666,1716
pre_xx_34,chr1,1173468,1174308,840
pre_xx_35,chr1,1200587,1201799,1212
pre_xx_36,chr1,1206099,1206782,683
pre_xx_37,chr1,1230766,1233226,2460
pre_xx_38,chr1,1246253,1247300,1047
pre_xx_39,chr1,1249630,1250486,856
pre_xx_40,chr1,1272831,1274771,1940
pre_xx_41,chr1,1290813,1292349,1536
pre_xx_42,chr1,1298824,1300302,1478
pre_xx_43,chr1,1304315,1305192,877
pre_xx_44,chr1,1307387,1309611,2224
pre_xx_45,chr1,1317914,1318666,752
pre_xx_46,chr1,1322250,1323168,918
pre_xx_47,chr1,1324183,1325425,1242
pre_xx_48,chr1,1334540,1335428,888
pre_xx_49,chr1,1347241,1348316,1075
pre_xx_50,chr1,1348495,1350014,1519
pre_xx_51,chr1,1354718,1356541,1823
pre_xx_52,chr1,1357747,1359016,1269
pre_xx_53,chr1,1359214,1360220,1006
pre_xx_54,chr1,1371655,1372352,697
pre_xx_55,chr1,1374381,1375734,1353
pre_xx_56,chr1,1398285,1400276,1991
pre_xx_57,chr1,1406318,1408067,1749
pre_xx_58,chr1,1419579,1420700,1121
pre_xx_59,chr1,1426617,1427936,1319
pre_xx_60,chr1,1430095,1431003,908
pre_xx_61,chr1,1433054,1434767,1713
pre_xx_62,chr1,1435251,1435934,683
pre_xx_63,chr1,1440624,1442665,2041
pre_xx_64,chr1,1461770,1463007,1237
pre_xx_65,chr1,1470591,1471962,1371
pre_xx_66,chr1,1504548,1506055,1507
pre_xx_67,chr1,1510927,1512616,1689
pre_xx_68,chr1,1535993,1537084,1091
pre_xx_69,chr1,1539221,1541126,1905
pre_xx_70,chr1,1541970,1542561,591
pre_xx_71,chr1,1573572,1575537,1965
pre_xx_72,chr1,1596782,1597939,1157
pre_xx_73,chr1,1599066,1600801,1735
pre_xx_74,chr1,1614073,1616670,2597
pre_xx_75,chr1,1628790,1632419,3629
pre_xx_76,chr1,1658526,1659525,999
pre_xx_77,chr1,1683064,1684265,1201
pre_xx_78,chr1,1692179,1693280,1101
pre_xx_79,chr1,1723834,1724777,943
pre_xx_80,chr1,1777111,1779448,2337
pre_xx_81,chr1,1782036,1783213,1177
pre_xx_82,chr1,1889781,1892330,2549
pre_xx_83,chr1,1906082,1906554,472
pre_xx_84,chr1,1908313,1909910,1597
pre_xx_85,chr1,1918392,1920158,1766
pre_xx_86,chr1,1942567,1944583,2016
pre_xx_87,chr1,1955349,1956419,1070
pre_xx_88,chr1,1959621,1960936,1315
pre_xx_89,chr1,1988344,1990735,2391
pre_xx_90,chr1,2003112,2004195,1083
pre_xx_91,chr1,2018377,2020040,1663
pre_xx_92,chr1,2025289,2026268,979
pre_xx_93,chr1,2031943,2033142,1199
pre_xx_94,chr1,2044472,2045218,746
pre_xx_95,chr1,2049298,2051620,2322
pre_xx_96,chr1,2073028,2074251,1223
pre_xx_97,chr1,2103163,2105324,2161
pre_xx_98,chr1,2132231,2134090,1859
pre_xx_99,chr1,2135092,2135892,800
pre_xx_100,chr1,2173785,2174968,1183
pre_xx_101,chr1,2189132,2190360,1228
pre_xx_102,chr1,2194358,2195512,1154
pre_xx_103,chr1,2198719,2199733,1014
pre_xx_104,chr1,2204216,2205846,1630
pre_xx_105,chr1,2207228,2207993,765
pre_xx_106,chr1,2212125,2215185,3060
pre_xx_107,chr1,2226677,2229602,2925
pre_xx_108,chr1,2229973,2230891,918
pre_xx_109,chr1,2231519,2232193,674
pre_xx_110,chr1,2237122,2237933,811
pre_xx_111,chr1,2239693,2240830,1137
pre_xx_112,chr1,2251480,2252634,1154
pre_xx_113,chr1,2278690,2279964,1274
pre_xx_114,chr1,2306408,2306944,536
pre_xx_115,chr1,2311373,2311801,428
pre_xx_116,chr1,2312276,2313449,1173
pre_xx_117,chr1,2313865,2315581,1716
pre_xx_118,chr1,2321817,2323350,1533
pre_xx_119,chr1,2330136,2331539,1403
pre_xx_120,chr1,2334588,2336460,1872
pre_xx_121,chr1,2380964,2382236,1272
pre_xx_122,chr1,2390983,2393012,2029
pre_xx_123,chr1,2404036,2405551,1515
pre_xx_124,chr1,2411838,2413681,1843
pre_xx_125,chr1,2414198,2414718,520
pre_xx_126,chr1,2430895,2431888,993
pre_xx_127,chr1,2433962,2434849,887
pre_xx_128,chr1,2441723,2444217,2494
pre_xx_129,chr1,2467761,2468378,617
pre_xx_130,chr1,2525654,2527010,1356
pre_xx_131,chr1,2529060,2529712,652
pre_xx_132,chr1,2534384,2535891,1507
