ID,Chromosome,Start,End,Length
HO1,chr1,633869,634519,650
HO2,chr1,778146,779332,1186
HO3,chr1,826595,827807,1212
HO4,chr1,869452,870256,804
HO5,chr1,903756,905651,1895
HO6,chr1,920457,921385,928
HO7,chr1,923465,925996,2531
HO8,chr1,939767,941055,1288
HO9,chr1,941260,942736,1476
HO10,chr1,958473,959698,1225
HO11,chr1,966167,967356,1189
HO12,chr1,975552,976758,1206
HO13,chr1,998250,1001266,3016
HO14,chr1,1001452,1002077,625
HO15,chr1,1004920,1005708,788
HO16,chr1,1012820,1014668,1848
HO17,chr1,1019135,1021475,2340
HO18,chr1,1024575,1025576,1001
HO19,chr1,1032441,1034716,2275
HO20,chr1,1039714,1041493,1779
HO21,chr1,1058690,1059965,1275
HO22,chr1,1063686,1064527,841
HO23,chr1,1067694,1070005,2311
HO24,chr1,1079356,1080683,1327
HO25,chr1,1115641,1117002,1361
HO26,chr1,1121743,1122641,898
HO27,chr1,1127993,1129726,1733
HO28,chr1,1135853,1138123,2270
HO29,chr1,1156950,1158666,1716
HO30,chr1,1200587,1201799,1212
HO31,chr1,1230766,1233226,2460
HO32,chr1,1272831,1274771,1940
HO33,chr1,1290813,1292349,1536
HO34,chr1,1298824,1300302,1478
HO35,chr1,1304315,1305192,877
HO36,chr1,1307387,1309611,2224
HO37,chr1,1324183,1325425,1242
HO38,chr1,1334540,1335428,888
HO39,chr1,1347241,1348316,1075
HO40,chr1,1348495,1350014,1519
HO41,chr1,1357747,1359016,1269
HO42,chr1,1371655,1372352,697
HO43,chr1,1374381,1375734,1353
HO44,chr1,1398285,1400276,1991
HO45,chr1,1406318,1408067,1749
HO46,chr1,1426617,1427936,1319
HO47,chr1,1430095,1431003,908
HO48,chr1,1433054,1434767,1713
HO49,chr1,1435251,1435934,683
HO50,chr1,1440624,1442665,2041
HO51,chr1,1470591,1471962,1371
HO52,chr1,1504548,1506055,1507
HO53,chr1,1510927,1512616,1689
HO54,chr1,1539221,1541126,1905
HO55,chr1,1573572,1575537,1965
HO56,chr1,1596782,1597939,1157
HO57,chr1,1599066,1600801,1735
HO58,chr1,1614073,1616670,2597
HO59,chr1,1628790,1632419,3629
HO60,chr1,1658526,1659525,999
HO61,chr1,1692179,1693280,1101
HO62,chr1,1723834,1724777,943
HO63,chr1,1777111,1779448,2337
HO64,chr1,1782036,1783213,1177
HO65,chr1,1889781,1892330,2549
HO66,chr1,1906082,1906554,472
HO67,chr1,1908313,1909910,1597
HO68,chr1,1918392,1920158,1766
HO69,chr1,1942567,1944583,2016
HO70,chr1,1959621,1960936,1315
HO71,chr1,1988344,1990735,2391
HO72,chr1,2003112,2004195,1083
HO73,chr1,2018377,2020040,1663
HO74,chr1,2025289,2026268,979
HO75,chr1,2044472,2045218,746
HO76,chr1,2049298,2051620,2322
HO77,chr1,2103163,2105324,2161
HO78,chr1,2132231,2134090,1859
HO79,chr1,2189132,2190360,1228
HO80,chr1,2194358,2195512,1154
HO81,chr1,2198719,2199733,1014
HO82,chr1,2204216,2205846,1630
HO83,chr1,2212125,2215185,3060
HO84,chr1,2226677,2229602,2925
HO85,chr1,2229973,2230891,918
HO86,chr1,2231519,2232193,674
HO87,chr1,2251480,2252634,1154
HO88,chr1,2278690,2279964,1274
HO89,chr1,2313865,2315581,1716
HO90,chr1,2321817,2323350,1533
HO91,chr1,2330136,2331539,1403
HO92,chr1,2334588,2336460,1872
HO93,chr1,2390983,2393012,2029
HO94,chr1,2404036,2405551,1515
HO95,chr1,2411838,2413681,1843
HO96,chr1,2441723,2444217,2494
HO97,chr1,2525654,2527010,1356
HO98,chr1,2534384,2535891,1507
HO99,chr1,2545805,2547341,1536
HO100,chr1,2555368,2557633,2265
HO101,chr1,2584704,2587680,2976
HO102,chr1,2592661,2594702,2041
HO103,chr1,2627847,2629641,1794
HO104,chr1,2642098,2643801,1703
HO105,chr1,2821294,2822463,1169
HO106,chr1,2855277,2857013,1736
HO107,chr1,2874446,2876573,2127
HO108,chr1,2891563,2892768,1205
HO109,chr1,3068265,3070932,2667
HO110,chr1,3105033,3106110,1077
HO111,chr1,3111260,3112058,798
HO112,chr1,3139386,3140923,1537
HO113,chr1,3145405,3146396,991
HO114,chr1,3169184,3171565,2381
HO115,chr1,3221349,3222669,1320
HO116,chr1,3312432,3315912,3480
HO117,chr1,3348850,3350061,1211
HO118,chr1,3351444,3353291,1847
HO119,chr1,3392910,3394488,1578
HO120,chr1,3423899,3425037,1138
HO121,chr1,3453120,3453628,508
HO122,chr1,3453834,3455320,1486
HO123,chr1,3460026,3460982,956
HO124,chr1,3490767,3492175,1408
HO125,chr1,3530036,3532223,2187
HO126,chr1,3557036,3557980,944
HO127,chr1,3609791,3612116,2325
HO128,chr1,3618479,3619640,1161
HO129,chr1,3623762,3625901,2139
HO130,chr1,3649462,3650274,812
HO131,chr1,3650963,3653208,2245
HO132,chr1,3668565,3669365,800
HO133,chr1,3717004,3718602,1598
HO134,chr1,3745874,3747627,1753
HO135,chr1,3771120,3773656,2536
HO136,chr1,3774419,3776229,1810
HO137,chr1,3783449,3784410,961
HO138,chr1,3784931,3785761,830
HO139,chr1,3795239,3797108,1869
HO140,chr1,3800988,3801692,704
HO141,chr1,3856285,3858845,2560
HO142,chr1,3899556,3901592,2036
HO143,chr1,3910637,3911988,1351
HO144,chr1,3924099,3925319,1220
HO145,chr1,4604955,4605919,964
HO146,chr1,4654002,4656721,2719
HO147,chr1,5691825,5693571,1746
HO148,chr1,5744311,5746169,1858
HO149,chr1,5810753,5812007,1254
HO150,chr1,5966421,5968046,1625
HO151,chr1,5980020,5981284,1264
HO152,chr1,5990916,5993574,2658
HO153,chr1,6001796,6003567,1771
HO154,chr1,6033818,6036033,2215
HO155,chr1,6052152,6053413,1261
HO156,chr1,6058393,6059221,828
HO157,chr1,6127418,6128199,781
HO158,chr1,6148301,6149204,903
HO159,chr1,6178942,6181694,2752
HO160,chr1,6198213,6200158,1945
HO161,chr1,6204688,6206585,1897
HO162,chr1,6208634,6209531,897
HO163,chr1,6234485,6236690,2205
HO164,chr1,6244879,6245668,789
HO165,chr1,6248859,6249993,1134
HO166,chr1,6259594,6262060,2466
HO167,chr1,6275838,6277087,1249
HO168,chr1,6358463,6360272,1809
HO169,chr1,6363078,6363750,672
HO170,chr1,6392041,6394231,2190
HO171,chr1,6418838,6420949,2111
HO172,chr1,6423262,6424337,1075
HO173,chr1,6446952,6449498,2546
HO174,chr1,6454234,6456371,2137
HO175,chr1,6484909,6486781,1872
HO176,chr1,6489748,6492141,2393
HO177,chr1,6496296,6498123,1827
HO178,chr1,6501724,6502911,1187
HO179,chr1,6508735,6509608,873
HO180,chr1,6510947,6512634,1687
HO181,chr1,6519350,6520557,1207
HO182,chr1,6553588,6554810,1222
HO183,chr1,6579196,6581224,2028
HO184,chr1,6586432,6587754,1322
HO185,chr1,6600823,6604393,3570
HO186,chr1,6612581,6615750,3169
HO187,chr1,6624539,6626104,1565
HO188,chr1,6650871,6652416,1545
HO189,chr1,6700707,6702286,1579
HO190,chr1,6724252,6725397,1145
HO191,chr1,6783911,6786580,2669
HO192,chr1,6934543,6936614,2071
HO193,chr1,6954220,6955209,989
HO194,chr1,6958338,6959353,1015
HO195,chr1,6961794,6963829,2035
HO196,chr1,7069625,7071214,1589
HO197,chr1,7185070,7187368,2298
HO198,chr1,7333310,7335628,2318
HO199,chr1,7340948,7342055,1107
HO200,chr1,7387398,7390111,2713
HO201,chr1,7454675,7455980,1305
HO202,chr1,7490835,7492366,1531
HO203,chr1,7500392,7502636,2244
HO204,chr1,7536146,7537740,1594
HO205,chr1,7557130,7559632,2502
HO206,chr1,7585675,7586797,1122
HO207,chr1,7667373,7667945,572
HO208,chr1,7668261,7670471,2210
HO209,chr1,7679577,7681308,1731
HO210,chr1,7703726,7705966,2240
HO211,chr1,7752190,7753368,1178
HO212,chr1,7770696,7772062,1366
HO213,chr1,7783160,7784898,1738
HO214,chr1,7953604,7954680,1076
HO215,chr1,7960518,7962266,1748
HO216,chr1,7974915,7975626,711
HO217,chr1,8004063,8005505,1442
HO218,chr1,8025189,8027181,1992
HO219,chr1,8201901,8202919,1018
HO220,chr1,8216721,8217859,1138
HO221,chr1,8314062,8314795,733
HO222,chr1,8317584,8318800,1216
HO223,chr1,8395347,8397877,2530
HO224,chr1,8407582,8409547,1965
HO225,chr1,8422279,8424981,2702
HO226,chr1,8438483,8439789,1306
HO227,chr1,8462957,8463917,960
HO228,chr1,8524853,8526314,1461
HO229,chr1,8625907,8627253,1346
HO230,chr1,8700947,8702409,1462
HO231,chr1,8702796,8703823,1027
HO232,chr1,8763628,8765398,1770
HO233,chr1,8816615,8818261,1646
HO234,chr1,8822434,8823157,723
HO235,chr1,8828906,8830068,1162
HO236,chr1,8848556,8849384,828
HO237,chr1,8856971,8858587,1616
HO238,chr1,8877418,8879621,2203
HO239,chr1,8889303,8890763,1460
HO240,chr1,8938298,8940000,1702
HO241,chr1,9017407,9018754,1347
HO242,chr1,9110491,9111211,720
HO243,chr1,9127495,9129967,2472
HO244,chr1,9181150,9183810,2660
HO245,chr1,9234063,9235497,1434
HO246,chr1,9241947,9243083,1136
HO247,chr1,9249085,9251132,2047
HO248,chr1,9266787,9267488,701
HO249,chr1,9291786,9294004,2218
HO250,chr1,9317614,9318384,770
HO251,chr1,9320399,9321832,1433
HO252,chr1,9371078,9372154,1076
HO253,chr1,9399237,9400840,1603
HO254,chr1,9428432,9430230,1798
HO255,chr1,9538764,9540460,1696
HO256,chr1,9588183,9589876,1693
HO257,chr1,9626777,9627528,751
HO258,chr1,9651284,9652964,1680
HO259,chr1,9687091,9688117,1026
HO260,chr1,9688937,9690439,1502
HO261,chr1,9792059,9792975,916
HO262,chr1,9822569,9824816,2247
HO263,chr1,9835174,9836897,1723
HO264,chr1,9849822,9851178,1356
HO265,chr1,9909146,9911212,2066
HO266,chr1,9942305,9943984,1679
HO267,chr1,9996390,9998165,1775
HO268,chr1,10032256,10033894,1638
HO269,chr1,10209608,10212187,2579
HO270,chr1,10377151,10379152,2001
HO271,chr1,10398184,10400082,1898
HO272,chr1,10429846,10431400,1554
HO273,chr1,10471739,10472886,1147
HO274,chr1,10474549,10475755,1206
HO275,chr1,10494198,10496441,2243
HO276,chr1,10518600,10519599,999
HO277,chr1,10529812,10531480,1668
HO278,chr1,10539062,10540960,1898
HO279,chr1,10638164,10639737,1573
HO280,chr1,10662813,10664606,1793
HO281,chr1,10685545,10688219,2674
HO282,chr1,10693574,10695342,1768
HO283,chr1,10736501,10737827,1326
HO284,chr1,10755118,10756515,1397
HO285,chr1,10793675,10796957,3282
