ID,Chromosome,Start,End,Length
HO1,chr1,629800,630038,238
HO2,chr1,633887,634124,237
HO3,chr1,778202,779303,1101
HO4,chr1,826606,827807,1201
HO5,chr1,869370,870234,864
HO6,chr1,903989,905746,1757
HO7,chr1,909950,911545,1595
HO8,chr1,920890,921390,500
HO9,chr1,923580,925857,2277
HO10,chr1,939791,941236,1445
HO11,chr1,958624,959544,920
HO12,chr1,960274,961478,1204
HO13,chr1,966289,967355,1066
HO14,chr1,975845,976756,911
HO15,chr1,998438,999389,951
HO16,chr1,999595,1001227,1632
HO17,chr1,1001623,1002093,470
HO18,chr1,1004567,1005711,1144
HO19,chr1,1012733,1014052,1319
HO20,chr1,1019132,1021442,2310
HO21,chr1,1032032,1034342,2310
HO22,chr1,1040031,1041428,1397
HO23,chr1,1058777,1059987,1210
HO24,chr1,1063654,1064479,825
HO25,chr1,1068526,1070143,1617
HO26,chr1,1079340,1080679,1339
HO27,chr1,1115628,1116933,1305
HO28,chr1,1121721,1122485,764
HO29,chr1,1127896,1129136,1240
HO30,chr1,1156930,1158730,1800
HO31,chr1,1231085,1232921,1836
HO32,chr1,1237117,1238682,1565
HO33,chr1,1249589,1250492,903
HO34,chr1,1272840,1274680,1840
HO35,chr1,1281287,1282398,1111
HO36,chr1,1290817,1292379,1562
HO37,chr1,1304357,1305050,693
HO38,chr1,1307429,1309282,1853
HO39,chr1,1324187,1325377,1190
HO40,chr1,1347279,1348296,1017
HO41,chr1,1348463,1349998,1535
HO42,chr1,1371800,1372360,560
HO43,chr1,1374412,1375723,1311
HO44,chr1,1398571,1400179,1608
HO45,chr1,1406334,1408052,1718
HO46,chr1,1430046,1430999,953
HO47,chr1,1433071,1433673,602
HO48,chr1,1433824,1434745,921
HO49,chr1,1435239,1435952,713
HO50,chr1,1440675,1442417,1742
HO51,chr1,1470644,1471894,1250
HO52,chr1,1504530,1505788,1258
HO53,chr1,1510949,1512616,1667
HO54,chr1,1539302,1540997,1695
HO55,chr1,1573822,1575527,1705
HO56,chr1,1596914,1597934,1020
HO57,chr1,1599076,1600773,1697
HO58,chr1,1613817,1616484,2667
HO59,chr1,1658505,1659319,814
HO60,chr1,1683215,1684377,1162
HO61,chr1,1692199,1693281,1082
HO62,chr1,1723850,1724626,776
HO63,chr1,1763670,1764611,941
HO64,chr1,1777218,1779260,2042
HO65,chr1,1889786,1891891,2105
HO66,chr1,1906026,1906553,527
HO67,chr1,1908413,1909826,1413
HO68,chr1,1918176,1919955,1779
HO69,chr1,1943688,1944522,834
HO70,chr1,1946182,1947029,847
HO71,chr1,1959668,1960503,835
HO72,chr1,1988357,1990653,2296
HO73,chr1,2003403,2004519,1116
HO74,chr1,2018393,2020019,1626
HO75,chr1,2044417,2045182,765
HO76,chr1,2049324,2051030,1706
HO77,chr1,2104175,2105352,1177
HO78,chr1,2132270,2133938,1668
HO79,chr1,2135082,2135903,821
HO80,chr1,2189099,2190294,1195
HO81,chr1,2194416,2195514,1098
HO82,chr1,2204218,2205872,1654
HO83,chr1,2207229,2207998,769
HO84,chr1,2212139,2213469,1330
HO85,chr1,2226927,2229584,2657
HO86,chr1,2234369,2234988,619
HO87,chr1,2237234,2238038,804
HO88,chr1,2239878,2240597,719
HO89,chr1,2314163,2315850,1687
HO90,chr1,2321835,2323179,1344
HO91,chr1,2329879,2331505,1626
HO92,chr1,2380934,2382199,1265
HO93,chr1,2390973,2392955,1982
HO94,chr1,2404109,2405446,1337
HO95,chr1,2411822,2413540,1718
HO96,chr1,2442595,2444171,1576
HO97,chr1,2474005,2475539,1534
HO98,chr1,2525630,2527030,1400
HO99,chr1,2529082,2529717,635
HO100,chr1,2543471,2545201,1730
HO101,chr1,2545810,2547307,1497
HO102,chr1,2577774,2578818,1044
HO103,chr1,2585208,2587431,2223
HO104,chr1,2642175,2643714,1539
HO105,chr1,3066181,3066551,370
HO106,chr1,3068787,3070838,2051
HO107,chr1,3139256,3140831,1575
HO108,chr1,3145277,3146349,1072
HO109,chr1,3170104,3171589,1485
HO110,chr1,3219052,3219956,904
HO111,chr1,3221094,3222593,1499
HO112,chr1,3312424,3315493,3069
HO113,chr1,3348040,3349975,1935
HO114,chr1,3352048,3353358,1310
