ID,Chromosome,Start,End,Length
granulosa_1,chr1,633869,634519,650
granulosa_2,chr1,778146,779332,1186
granulosa_3,chr1,826595,827807,1212
granulosa_4,chr1,869452,870256,804
granulosa_5,chr1,903756,905651,1895
granulosa_6,chr1,920457,921385,928
granulosa_7,chr1,923465,925996,2531
granulosa_8,chr1,939767,941055,1288
granulosa_9,chr1,941260,942736,1476
granulosa_10,chr1,958473,959698,1225
granulosa_11,chr1,966167,967356,1189
granulosa_12,chr1,975552,976758,1206
granulosa_13,chr1,998250,1001266,3016
granulosa_14,chr1,1001452,1002077,625
granulosa_15,chr1,1004920,1005708,788
granulosa_16,chr1,1012820,1014668,1848
granulosa_17,chr1,1019135,1021475,2340
granulosa_18,chr1,1024575,1025576,1001
granulosa_19,chr1,1032441,1034716,2275
granulosa_20,chr1,1039714,1041493,1779
granulosa_21,chr1,1058690,1059965,1275
granulosa_22,chr1,1063686,1064527,841
granulosa_23,chr1,1067694,1070005,2311
granulosa_24,chr1,1079356,1080683,1327
granulosa_25,chr1,1115641,1117002,1361
granulosa_26,chr1,1121743,1122641,898
granulosa_27,chr1,1127993,1129726,1733
granulosa_28,chr1,1135853,1138123,2270
granulosa_29,chr1,1156950,1158666,1716
granulosa_30,chr1,1200587,1201799,1212
granulosa_31,chr1,1230766,1233226,2460
granulosa_32,chr1,1272831,1274771,1940
granulosa_33,chr1,1290813,1292349,1536
granulosa_34,chr1,1298824,1300302,1478
granulosa_35,chr1,1304315,1305192,877
granulosa_36,chr1,1307387,1309611,2224
granulosa_37,chr1,1324183,1325425,1242
granulosa_38,chr1,1334540,1335428,888
granulosa_39,chr1,1347241,1348316,1075
granulosa_40,chr1,1348495,1350014,1519
granulosa_41,chr1,1357747,1359016,1269
granulosa_42,chr1,1371655,1372352,697
granulosa_43,chr1,1374381,1375734,1353
granulosa_44,chr1,1398285,1400276,1991
granulosa_45,chr1,1406318,1408067,1749
granulosa_46,chr1,1426617,1427936,1319
granulosa_47,chr1,1430095,1431003,908
granulosa_48,chr1,1433054,1434767,1713
granulosa_49,chr1,1435251,1435934,683
granulosa_50,chr1,1440624,1442665,2041
granulosa_51,chr1,1470591,1471962,1371
granulosa_52,chr1,1504548,1506055,1507
granulosa_53,chr1,1510927,1512616,1689
granulosa_54,chr1,1539221,1541126,1905
granulosa_55,chr1,1573572,1575537,1965
granulosa_56,chr1,1596782,1597939,1157
granulosa_57,chr1,1599066,1600801,1735
granulosa_58,chr1,1614073,1616670,2597
granulosa_59,chr1,1628790,1632419,3629
granulosa_60,chr1,1658526,1659525,999
granulosa_61,chr1,1692179,1693280,1101
granulosa_62,chr1,1723834,1724777,943
granulosa_63,chr1,1777111,1779448,2337
granulosa_64,chr1,1782036,1783213,1177
granulosa_65,chr1,1889781,1892330,2549
granulosa_66,chr1,1906082,1906554,472
granulosa_67,chr1,1908313,1909910,1597
granulosa_68,chr1,1918392,1920158,1766
granulosa_69,chr1,1942567,1944583,2016
granulosa_70,chr1,1959621,1960936,1315
granulosa_71,chr1,1988344,1990735,2391
granulosa_72,chr1,2003112,2004195,1083
granulosa_73,chr1,2018377,2020040,1663
granulosa_74,chr1,2025289,2026268,979
granulosa_75,chr1,2044472,2045218,746
granulosa_76,chr1,2049298,2051620,2322
granulosa_77,chr1,2103163,2105324,2161
granulosa_78,chr1,2132231,2134090,1859
granulosa_79,chr1,2189132,2190360,1228
granulosa_80,chr1,2194358,2195512,1154
granulosa_81,chr1,2198719,2199733,1014
granulosa_82,chr1,2204216,2205846,1630
granulosa_83,chr1,2212125,2215185,3060
granulosa_84,chr1,2226677,2229602,2925
granulosa_85,chr1,2229973,2230891,918
