chromosome,start,end,peaks,peak_count,producer
chr1,6956355,6957146,"HO108_XY,HO180_PS",2,PS+XY
chr1,9195706,9197427,"HO131_XY,HO218_PS,HO338_XX",3,"XX+XY, PS+XY"
chr1,11784396,11785466,"HO175_XY,HO275_PS,HO433_XX",3,"XX+XY, PS+XY"
chr1,21324090,21325732,"HO268_XY,HO416_PS,HO680_XX",3,"XX+XY, PS+XY"
chr1,30895349,30896521,"HO1027_XX,HO435_XY,HO640_PS",3,"XX+XY, PS+XY"
chr1,64567539,64568508,"HO1162_PS,HO1759_XX,HO783_XY",3,"XX+XY, PS+XY"
chr1,71189396,71190309,"HO1201_PS,HO814_XY",2,PS+XY
chr1,89125197,89126425,"HO1265_PS,HO1927_XX,HO870_XY",3,"XX+XY, PS+XY"
chr1,152188424,152190100,"HO1144_XY,HO1658_PS,HO2461_XX",3,"XX+XY, PS+XY"
chr1,157510487,157512098,"HO1263_XY,HO1821_PS,HO1985_PG",3,"PG+PS, PS+XY"
chr1,159171107,159173363,"HO1271_XY,HO1836_PS,HO2697_XX",3,"XX+XY, PS+XY"
chr1,182056175,182057465,"HO1410_XY,HO2040_PS,HO2993_XX",3,"XX+XY, PS+XY"
chr10,15450176,15452222,"HO1863_XY,HO2752_PS,HO4060_XX",3,"XX+XY, PS+XY"
chr10,21499825,21500795,"HO1884_XY,HO2780_PS,HO4102_XX",3,"XX+XY, PS+XY"
chr10,36114586,36115891,"HO1956_XY,HO2887_PS,HO4259_XX",3,"XX+XY, PS+XY"
chr10,46094548,46095700,"HO2000_XY,HO2941_PS",2,PS+XY
chr10,69917939,69918919,"HO2081_XY,HO3063_PS,HO4523_XX",3,"XX+XY, PS+XY"
chr10,70254780,70256462,"HO2087_XY,HO3069_PS,HO4529_XX",3,"XX+XY, PS+XY"
chr10,78470614,78472848,"HO2164_XY,HO3202_PS,HO4714_XX",3,"XX+XY, PS+XY"
chr10,80411457,80412111,"HO2180_XY,HO3241_PS",2,PS+XY
chr10,100350406,100351466,"HO2289_XY,HO3397_PS,HO4987_XX",3,"XX+XY, PS+XY"
chr10,101616460,101618355,"HO2315_XY,HO3438_PS,HO5048_XX",3,"XX+XY, PS+XY"
chr10,124717626,124718903,"HO2476_XY,HO3651_PS,HO5432_XX",3,"XX+XY, PS+XY"
chr11,20363267,20364816,"HO2728_XY,HO4037_PS,HO6042_XX",3,"XX+XY, PS+XY"
chr11,61070345,61072385,"HO2907_XY,HO4268_PS,HO4597_PG",3,"PG+PS, PS+XY"
chr11,61281203,61281950,"HO2910_XY,HO4273_PS",2,PS+XY
chr11,70825943,70827727,"HO3173_XY,HO4634_PS,HO6904_XX",3,"XX+XY, PS+XY"
chr11,110530409,110531916,"HO3351_XY,HO4893_PS,HO5227_PG",3,"PG+PS, PS+XY"
chr11,112776754,112779199,"HO3370_XY,HO4920_PS,HO7317_XX",3,"XX+XY, PS+XY"
chr11,124075210,124076850,"HO3482_XY,HO5086_PS,HO7588_XX",3,"XX+XY, PS+XY"
chr11,131185911,131187503,"HO3534_XY,HO5173_PS,HO7746_XX",3,"XX+XY, PS+XY"
chr11,134124523,134125862,"HO3547_XY,HO5189_PS,HO7782_XX",3,"XX+XY, PS+XY"
chr12,6619968,6621136,"HO3628_XY,HO5304_PS,HO7967_XX",3,"XX+XY, PS+XY"
chr12,9283277,9284590,"HO3675_XY,HO5363_PS",2,PS+XY
chr12,10009606,10011161,"HO3678_XY,HO5368_PS,HO8041_XX",3,"XX+XY, PS+XY"
chr12,32051391,32053076,"HO3770_XY,HO5497_PS,HO5888_PG",3,"PG+PS, PS+XY"
chr12,51504254,51506228,"HO3897_XY,HO5659_PS",2,PS+XY
chr12,110846339,110847327,"HO4251_XY,HO6153_PS,HO9164_XX",3,"XX+XY, PS+XY"
chr12,119178337,119179978,"HO4302_XY,HO6235_PS,HO9293_XX",3,"XX+XY, PS+XY"
