ID,Chromosome,Start,End,Length
pre_xy_1,chr1,778202,779303,1101
pre_xy_2,chr1,826606,827807,1201
pre_xy_3,chr1,903989,905746,1757
pre_xy_4,chr1,923580,925857,2277
pre_xy_5,chr1,939791,941236,1445
pre_xy_6,chr1,958624,959544,920
pre_xy_7,chr1,966289,967355,1066
pre_xy_8,chr1,998438,999389,951
pre_xy_9,chr1,999595,1001227,1632
pre_xy_10,chr1,1004567,1005711,1144
pre_xy_11,chr1,1019132,1021442,2310
pre_xy_12,chr1,1032032,1034342,2310
pre_xy_13,chr1,1040031,1041428,1397
pre_xy_14,chr1,1058777,1059987,1210
pre_xy_15,chr1,1063654,1064479,825
pre_xy_16,chr1,1068526,1070143,1617
pre_xy_17,chr1,1079340,1080679,1339
pre_xy_18,chr1,1115628,1116933,1305
pre_xy_19,chr1,1200624,1201809,1185
pre_xy_20,chr1,1231085,1232921,1836
pre_xy_21,chr1,1272840,1274680,1840
pre_xy_22,chr1,1307429,1309282,1853
pre_xy_23,chr1,1324187,1325377,1190
pre_xy_24,chr1,1348463,1349998,1535
pre_xy_25,chr1,1357738,1359165,1427
pre_xy_26,chr1,1374412,1375723,1311
pre_xy_27,chr1,1398571,1400179,1608
pre_xy_28,chr1,1406334,1408052,1718
pre_xy_29,chr1,1435239,1435952,713
pre_xy_30,chr1,1470644,1471894,1250
pre_xy_31,chr1,1504530,1505788,1258
pre_xy_32,chr1,1510949,1512616,1667
pre_xy_33,chr1,1539302,1540997,1695
pre_xy_34,chr1,1573822,1575527,1705
pre_xy_35,chr1,1596914,1597934,1020
pre_xy_36,chr1,1613817,1616484,2667
pre_xy_37,chr1,1629131,1632401,3270
pre_xy_38,chr1,1658505,1659319,814
pre_xy_39,chr1,1723850,1724626,776
pre_xy_40,chr1,1745567,1746560,993
pre_xy_41,chr1,1777218,1779260,2042
pre_xy_42,chr1,1889786,1891891,2105
pre_xy_43,chr1,1908413,1909826,1413
pre_xy_44,chr1,1918176,1919955,1779
pre_xy_45,chr1,1988357,1990653,2296
pre_xy_46,chr1,2018393,2020019,1626
pre_xy_47,chr1,2049324,2051030,1706
pre_xy_48,chr1,2073022,2074353,1331
pre_xy_49,chr1,2132270,2133938,1668
pre_xy_50,chr1,2189099,2190294,1195
pre_xy_51,chr1,2194416,2195514,1098
pre_xy_52,chr1,2204218,2205872,1654
pre_xy_53,chr1,2212139,2213469,1330
pre_xy_54,chr1,2226927,2229584,2657
pre_xy_55,chr1,2230370,2230940,570
pre_xy_56,chr1,2278864,2279910,1046
pre_xy_57,chr1,2314163,2315850,1687
pre_xy_58,chr1,2321835,2323179,1344
pre_xy_59,chr1,2329879,2331505,1626
pre_xy_60,chr1,2390973,2392955,1982
pre_xy_61,chr1,2411822,2413540,1718
pre_xy_62,chr1,2525630,2527030,1400
pre_xy_63,chr1,2585208,2587431,2223
pre_xy_64,chr1,2628018,2629817,1799
pre_xy_65,chr1,2642175,2643714,1539
pre_xy_66,chr1,3068787,3070838,2051
pre_xy_67,chr1,3170104,3171589,1485
pre_xy_68,chr1,3221094,3222593,1499
pre_xy_69,chr1,3312424,3315493,3069
pre_xy_70,chr1,3348040,3349975,1935
pre_xy_71,chr1,3352048,3353358,1310
pre_xy_72,chr1,3454216,3455205,989
pre_xy_73,chr1,3530209,3532075,1866
pre_xy_74,chr1,3609819,3611951,2132
pre_xy_75,chr1,3623923,3625893,1970
pre_xy_76,chr1,3649501,3650294,793
pre_xy_77,chr1,3745922,3747602,1680
pre_xy_78,chr1,3771005,3773649,2644
pre_xy_79,chr1,3774404,3775760,1356
pre_xy_80,chr1,3795465,3797010,1545
pre_xy_81,chr1,3856401,3858495,2094
pre_xy_82,chr1,3899561,3901592,2031
pre_xy_83,chr1,4655579,4656746,1167
pre_xy_84,chr1,5966445,5967994,1549
pre_xy_85,chr1,5991009,5993260,2251
pre_xy_86,chr1,6033923,6035894,1971
pre_xy_87,chr1,6179003,6181772,2769
pre_xy_88,chr1,6198805,6200139,1334
pre_xy_89,chr1,6204912,6206524,1612
pre_xy_90,chr1,6208619,6209544,925
pre_xy_91,chr1,6235096,6236343,1247
pre_xy_92,chr1,6244864,6245705,841
pre_xy_93,chr1,6259594,6262064,2470
pre_xy_94,chr1,6275933,6277060,1127
pre_xy_95,chr1,6392682,6394216,1534
pre_xy_96,chr1,6423295,6425224,1929
pre_xy_97,chr1,6454292,6456189,1897
pre_xy_98,chr1,6484874,6486828,1954
pre_xy_99,chr1,6489735,6491120,1385
pre_xy_100,chr1,6496982,6497885,903
pre_xy_101,chr1,6553664,6554802,1138
pre_xy_102,chr1,6579201,6581129,1928
pre_xy_103,chr1,6600849,6604167,3318
pre_xy_104,chr1,6612658,6615428,2770
pre_xy_105,chr1,6624592,6626037,1445
pre_xy_106,chr1,6700837,6702260,1423
pre_xy_107,chr1,6784169,6786469,2300
pre_xy_108,chr1,6956355,6957146,791
pre_xy_109,chr1,6961821,6963713,1892
pre_xy_110,chr1,7536722,7537666,944
pre_xy_111,chr1,7669260,7670644,1384
pre_xy_112,chr1,7679621,7681198,1577
pre_xy_113,chr1,7703744,7706313,2569
pre_xy_114,chr1,7770562,7772012,1450
pre_xy_115,chr1,7783171,7784721,1550
pre_xy_116,chr1,7953644,7954635,991
pre_xy_117,chr1,7960952,7962255,1303
pre_xy_118,chr1,8025364,8027039,1675
pre_xy_119,chr1,8407603,8409517,1914
pre_xy_120,chr1,8422303,8425073,2770
pre_xy_121,chr1,8438342,8439799,1457
pre_xy_122,chr1,8525196,8526301,1105
pre_xy_123,chr1,8700289,8702278,1989
pre_xy_124,chr1,8702782,8703759,977
pre_xy_125,chr1,8816434,8818239,1805
pre_xy_126,chr1,8869058,8869872,814
pre_xy_127,chr1,8877765,8879647,1882
pre_xy_128,chr1,9110539,9111213,674
pre_xy_129,chr1,9127389,9129974,2585
pre_xy_130,chr1,9181103,9183428,2325
pre_xy_131,chr1,9195706,9197427,1721
pre_xy_132,chr1,9234093,9235482,1389
pre_xy_133,chr1,9249414,9252089,2675
pre_xy_134,chr1,9291858,9293943,2085
pre_xy_135,chr1,9371202,9372170,968
pre_xy_136,chr1,9428432,9430260,1828
pre_xy_137,chr1,9538765,9540358,1593
pre_xy_138,chr1,9588175,9589666,1491
pre_xy_139,chr1,9651424,9652758,1334
pre_xy_140,chr1,9687083,9688109,1026
pre_xy_141,chr1,9688922,9690314,1392
pre_xy_142,chr1,9822885,9824770,1885
pre_xy_143,chr1,9835212,9836630,1418
pre_xy_144,chr1,9909212,9911212,2000
pre_xy_145,chr1,9942370,9943821,1451
pre_xy_146,chr1,10032296,10033840,1544
pre_xy_147,chr1,10209686,10212125,2439
pre_xy_148,chr1,10377219,10379228,2009
pre_xy_149,chr1,10398218,10399959,1741
pre_xy_150,chr1,10429851,10431361,1510
pre_xy_151,chr1,10471717,10472847,1130
pre_xy_152,chr1,10474579,10475613,1034
