chromosome,start,end,peaks,peak_count,producer
chr1,909894,911545,"HO6_XX,HO7_PS",2,"only XX, only PS"
chr1,916176,917500,HO7_XX,1,only XX
chr1,959935,961478,"HO12_PS,HO13_XX",2,"only XX, only PS"
chr1,1143857,1146501,HO32_XX,1,only XX
chr1,1173468,1174308,HO34_XX,1,only XX
chr1,1206099,1206782,HO36_XX,1,only XX
chr1,1246253,1247300,HO38_XX,1,only XX
chr1,1249589,1250492,"HO33_PS,HO39_XX",2,"only XX, only PS"
chr1,1317914,1318666,HO45_XX,1,only XX
chr1,1322250,1323168,HO46_XX,1,only XX
chr1,1354718,1356541,HO51_XX,1,only XX
chr1,1359214,1360220,HO53_XX,1,only XX
chr1,1419579,1420700,HO58_XX,1,only XX
chr1,1461770,1463007,HO64_XX,1,only XX
chr1,1535993,1537084,HO68_XX,1,only XX
chr1,1541970,1542561,HO70_XX,1,only XX
chr1,1683064,1684377,"HO60_PS,HO77_XX",2,"only XX, only PS"
chr1,1955349,1956419,HO87_XX,1,only XX
chr1,2031943,2033142,HO93_XX,1,only XX
chr1,2135082,2135903,"HO79_PS,HO99_XX",2,"only XX, only PS"
chr1,2173785,2174968,HO100_XX,1,only XX
chr1,2207228,2207998,"HO105_XX,HO83_PS",2,"only XX, only PS"
chr1,2237122,2238038,"HO110_XX,HO87_PS",2,"only XX, only PS"
chr1,2239693,2240830,"HO111_XX,HO88_PS",2,"only XX, only PS"
chr1,2306408,2306944,HO114_XX,1,only XX
chr1,2311373,2311801,HO115_XX,1,only XX
chr1,2312276,2313449,HO116_XX,1,only XX
chr1,2380934,2382236,"HO121_XX,HO92_PS",2,"only XX, only PS"
chr1,2414198,2414718,HO125_XX,1,only XX
chr1,2430895,2431888,HO126_XX,1,only XX
chr1,2433962,2434849,HO127_XX,1,only XX
chr1,2467761,2468378,HO129_XX,1,only XX
chr1,2529060,2529717,"HO131_XX,HO99_PS",2,"only XX, only PS"
chr1,2547827,2549045,HO134_XX,1,only XX
chr1,2610322,2611703,HO138_XX,1,only XX
chr1,2905429,2906907,HO144_XX,1,only XX
chr1,2975365,2976400,HO145_XX,1,only XX
chr1,2984816,2985698,HO146_XX,1,only XX
chr1,3011725,3013026,HO147_XX,1,only XX
chr1,3062162,3064102,HO148_XX,1,only XX
chr1,3119341,3120539,HO152_XX,1,only XX
chr1,3186056,3187073,HO156_XX,1,only XX
chr1,3218986,3219985,"HO110_PS,HO157_XX",2,"only XX, only PS"
chr1,3228858,3230055,HO159_XX,1,only XX
chr1,3283666,3284312,HO160_XX,1,only XX
chr1,3291639,3292611,HO161_XX,1,only XX
chr1,3409841,3410802,"HO116_PS,HO166_XX",2,"only XX, only PS"
chr1,3471152,3472269,HO171_XX,1,only XX
chr1,3501938,3502593,HO173_XX,1,only XX
chr1,3547139,3548723,HO175_XX,1,only XX
chr1,3590000,3591344,HO176_XX,1,only XX
chr1,3596654,3599121,HO177_XX,1,only XX
chr1,3673666,3675006,HO184_XX,1,only XX
chr1,3683679,3684685,HO185_XX,1,only XX
chr1,3695167,3696146,HO186_XX,1,only XX
chr1,3702400,3704228,HO187_XX,1,only XX
chr1,4637669,4638625,HO201_XX,1,only XX
chr1,4710701,4712477,HO203_XX,1,only XX
chr1,5620727,5621512,HO204_XX,1,only XX
chr1,5651895,5653153,"HO138_PS,HO205_XX",2,"only XX, only PS"
chr1,5704052,5705507,"HO140_PS,HO207_XX",2,"only XX, only PS"
chr1,5770715,5771755,HO209_XX,1,only XX
chr1,5846901,5847669,HO211_XX,1,only XX
chr1,6006696,6007958,HO216_XX,1,only XX
chr1,6092032,6093606,"HO148_PS,HO220_XX",2,"only XX, only PS"
chr1,6161014,6162039,HO222_XX,1,only XX
chr1,6246588,6247091,HO229_XX,1,only XX
chr1,6267942,6270368,HO232_XX,1,only XX
chr1,6328926,6331227,HO234_XX,1,only XX
chr1,6343116,6343952,HO235_XX,1,only XX
chr1,6350246,6350821,HO236_XX,1,only XX
chr1,6351692,6352518,HO237_XX,1,only XX
chr1,6384756,6386220,HO240_XX,1,only XX
chr1,6439948,6441009,HO244_XX,1,only XX
chr1,6459799,6461760,HO247_XX,1,only XX
chr1,6634285,6635311,HO261_XX,1,only XX
chr1,6645989,6646927,HO262_XX,1,only XX
chr1,6911475,6913081,"HO177_PS,HO267_XX",2,"only XX, only PS"
chr1,6960147,6961305,HO270_XX,1,only XX
chr1,7042288,7043161,HO272_XX,1,only XX
chr1,7046058,7046697,HO273_XX,1,only XX
chr1,7378912,7380095,HO278_XX,1,only XX
chr1,7469217,7470065,HO281_XX,1,only XX
chr1,7529839,7530440,HO283_XX,1,only XX
chr1,7586836,7588119,HO287_XX,1,only XX
chr1,7616112,7617535,HO288_XX,1,only XX
chr1,7645250,7645868,HO289_XX,1,only XX
chr1,7942076,7942756,HO297_XX,1,only XX
chr1,8166376,8167635,HO303_XX,1,only XX
chr1,8197509,8198335,HO304_XX,1,only XX
chr1,8231680,8232856,HO307_XX,1,only XX
chr1,8351403,8353692,HO310_XX,1,only XX
chr1,8371977,8373399,HO311_XX,1,only XX
chr1,8509905,8510983,HO317_XX,1,only XX
chr1,8660114,8662086,HO320_XX,1,only XX
chr1,9038832,9040263,HO333_XX,1,only XX
chr1,9101270,9101909,HO334_XX,1,only XX
chr1,9198420,9199039,"HO219_PS,HO339_XX",2,"only XX, only PS"
chr1,9201184,9202201,HO340_XX,1,only XX
chr1,9252677,9253444,HO344_XX,1,only XX
chr1,9270019,9270881,HO346_XX,1,only XX
chr1,9340057,9341460,HO350_XX,1,only XX
chr1,9351852,9353428,"HO225_PS,HO351_XX",2,"only XX, only PS"
chr1,9363760,9364551,HO352_XX,1,only XX
chr1,9383788,9385291,"HO226_PS,HO354_XX",2,"only XX, only PS"
chr1,9412374,9414403,HO356_XX,1,only XX
chr1,9441091,9442848,HO358_XX,1,only XX
chr1,9443687,9444412,"HO228_PS,HO359_XX",2,"only XX, only PS"
chr1,9593298,9594196,"HO231_PS,HO362_XX",2,"only XX, only PS"
chr1,9717132,9718128,HO367_XX,1,only XX
chr1,9825098,9825902,HO370_XX,1,only XX
chr1,9874531,9875896,HO373_XX,1,only XX
chr1,10196299,10197605,"HO245_PS,HO378_XX",2,"only XX, only PS"
chr1,10670756,10672569,HO390_XX,1,only XX
chr1,10704147,10704985,HO393_XX,1,only XX
chr1,10724036,10726055,HO394_XX,1,only XX
chr1,10900168,10901995,HO401_XX,1,only XX
chr1,10939723,10940480,HO403_XX,1,only XX
chr1,10943840,10944751,HO405_XX,1,only XX
chr1,10967948,10968852,HO407_XX,1,only XX
chr1,10979367,10980751,HO408_XX,1,only XX
chr1,11052592,11054163,HO410_XX,1,only XX
chr1,11635633,11636362,HO423_XX,1,only XX
chr1,11649979,11650810,HO424_XX,1,only XX
chr1,11719137,11720086,HO430_XX,1,only XX
chr1,11787001,11787965,HO434_XX,1,only XX
chr1,11838109,11838994,HO437_XX,1,only XX
chr1,11841849,11842674,HO438_XX,1,only XX
chr1,11882727,11883537,HO440_XX,1,only XX
chr1,11898164,11899424,HO441_XX,1,only XX
chr1,12062886,12064078,HO447_XX,1,only XX
chr1,12174579,12175792,HO456_XX,1,only XX
chr1,12177973,12179451,HO457_XX,1,only XX
chr1,12183867,12184991,HO458_XX,1,only XX
chr1,12591032,12591640,HO466_XX,1,only XX
chr1,13512526,13514291,"HO293_PS,HO471_XX",2,"only XX, only PS"
chr1,13965563,13966310,HO476_XX,1,only XX
chr1,14136171,14136847,HO477_XX,1,only XX
chr1,14140524,14141436,HO478_XX,1,only XX
chr1,14436774,14437959,HO479_XX,1,only XX
chr1,14546055,14547210,HO480_XX,1,only XX
chr1,14602093,14602552,HO482_XX,1,only XX
chr1,14731589,14732319,HO483_XX,1,only XX
chr1,14852070,14852845,HO485_XX,1,only XX
chr1,14928341,14928807,HO487_XX,1,only XX
chr1,14929351,14930870,HO488_XX,1,only XX
chr1,14942558,14943496,HO489_XX,1,only XX
chr1,15099663,15100716,HO492_XX,1,only XX
chr1,15212286,15213822,"HO304_PS,HO494_XX",2,"only XX, only PS"
