chromosome,start,end,peaks,peak_count,producer
chr1,778146,779332,"HO1_XY,HO2_PG,HO2_XX,HO3_PS",4,everyone
chr1,826595,827807,"HO2_XY,HO3_PG,HO3_XX,HO4_PS",4,everyone
chr1,903756,905746,"HO3_XY,HO5_PG,HO5_XX,HO6_PS",4,everyone
chr1,923465,925996,"HO4_XY,HO7_PG,HO9_PS,HO9_XX",4,everyone
chr1,939767,941236,"HO10_PS,HO10_XX,HO5_XY,HO8_PG",4,everyone
chr1,958473,959698,"HO10_PG,HO11_PS,HO12_XX,HO6_XY",4,everyone
chr1,966167,967356,"HO11_PG,HO13_PS,HO14_XX,HO7_XY",4,everyone
chr1,998250,1001266,"HO13_PG,HO15_PS,HO16_PS,HO16_XX,HO8_XY,HO9_XY",6,everyone
chr1,1004567,1005711,"HO10_XY,HO15_PG,HO18_PS,HO18_XX",4,everyone
chr1,1019132,1021475,"HO11_XY,HO17_PG,HO20_PS,HO20_XX",4,everyone
chr1,1032032,1034716,"HO12_XY,HO19_PG,HO21_PS,HO22_XX",4,everyone
chr1,1039714,1041493,"HO13_XY,HO20_PG,HO22_PS,HO23_XX",4,everyone
chr1,1058690,1059987,"HO14_XY,HO21_PG,HO23_PS,HO24_XX",4,everyone
chr1,1063654,1064527,"HO15_XY,HO22_PG,HO24_PS,HO25_XX",4,everyone
chr1,1067694,1070143,"HO16_XY,HO23_PG,HO25_PS,HO26_XX",4,everyone
chr1,1079340,1080683,"HO17_XY,HO24_PG,HO26_PS,HO27_XX",4,everyone
chr1,1115628,1117002,"HO18_XY,HO25_PG,HO27_PS,HO28_XX",4,everyone
chr1,1230766,1233226,"HO20_XY,HO31_PG,HO31_PS,HO37_XX",4,everyone
chr1,1272831,1274771,"HO21_XY,HO32_PG,HO34_PS,HO40_XX",4,everyone
chr1,1307387,1309611,"HO22_XY,HO36_PG,HO38_PS,HO44_XX",4,everyone
chr1,1324183,1325425,"HO23_XY,HO37_PG,HO39_PS,HO47_XX",4,everyone
chr1,1348463,1350014,"HO24_XY,HO40_PG,HO41_PS,HO50_XX",4,everyone
chr1,1374381,1375734,"HO26_XY,HO43_PG,HO43_PS,HO55_XX",4,everyone
chr1,1398285,1400276,"HO27_XY,HO44_PG,HO44_PS,HO56_XX",4,everyone
chr1,1406318,1408067,"HO28_XY,HO45_PG,HO45_PS,HO57_XX",4,everyone
chr1,1435239,1435952,"HO29_XY,HO49_PG,HO49_PS,HO62_XX",4,everyone
chr1,1470591,1471962,"HO30_XY,HO51_PG,HO51_PS,HO65_XX",4,everyone
chr1,1504530,1506055,"HO31_XY,HO52_PG,HO52_PS,HO66_XX",4,everyone
chr1,1510927,1512616,"HO32_XY,HO53_PG,HO53_PS,HO67_XX",4,everyone
chr1,1539221,1541126,"HO33_XY,HO54_PG,HO54_PS,HO69_XX",4,everyone
chr1,1573572,1575537,"HO34_XY,HO55_PG,HO55_PS,HO71_XX",4,everyone
chr1,1596782,1597939,"HO35_XY,HO56_PG,HO56_PS,HO72_XX",4,everyone
chr1,1613817,1616670,"HO36_XY,HO58_PG,HO58_PS,HO74_XX",4,everyone
chr1,1658505,1659525,"HO38_XY,HO59_PS,HO60_PG,HO76_XX",4,everyone
chr1,1723834,1724777,"HO39_XY,HO62_PG,HO62_PS,HO79_XX",4,everyone
chr1,1777111,1779448,"HO41_XY,HO63_PG,HO64_PS,HO80_XX",4,everyone
