ID,Chromosome,Start,End,Length
HO1,chr1,778202,779303,1101
HO2,chr1,826606,827807,1201
HO3,chr1,903989,905746,1757
HO4,chr1,923580,925857,2277
HO5,chr1,939791,941236,1445
HO6,chr1,958624,959544,920
HO7,chr1,966289,967355,1066
HO8,chr1,998438,999389,951
HO9,chr1,999595,1001227,1632
HO10,chr1,1004567,1005711,1144
HO11,chr1,1019132,1021442,2310
HO12,chr1,1032032,1034342,2310
HO13,chr1,1040031,1041428,1397
HO14,chr1,1058777,1059987,1210
HO15,chr1,1063654,1064479,825
HO16,chr1,1068526,1070143,1617
HO17,chr1,1079340,1080679,1339
HO18,chr1,1115628,1116933,1305
HO19,chr1,1200624,1201809,1185
HO20,chr1,1231085,1232921,1836
HO21,chr1,1272840,1274680,1840
HO22,chr1,1307429,1309282,1853
HO23,chr1,1324187,1325377,1190
HO24,chr1,1348463,1349998,1535
HO25,chr1,1357738,1359165,1427
HO26,chr1,1374412,1375723,1311
HO27,chr1,1398571,1400179,1608
HO28,chr1,1406334,1408052,1718
HO29,chr1,1435239,1435952,713
HO30,chr1,1470644,1471894,1250
HO31,chr1,1504530,1505788,1258
HO32,chr1,1510949,1512616,1667
HO33,chr1,1539302,1540997,1695
HO34,chr1,1573822,1575527,1705
HO35,chr1,1596914,1597934,1020
HO36,chr1,1613817,1616484,2667
HO37,chr1,1629131,1632401,3270
HO38,chr1,1658505,1659319,814
HO39,chr1,1723850,1724626,776
HO40,chr1,1745567,1746560,993
HO41,chr1,1777218,1779260,2042
HO42,chr1,1889786,1891891,2105
HO43,chr1,1908413,1909826,1413
HO44,chr1,1918176,1919955,1779
HO45,chr1,1988357,1990653,2296
HO46,chr1,2018393,2020019,1626
HO47,chr1,2049324,2051030,1706
HO48,chr1,2073022,2074353,1331
HO49,chr1,2132270,2133938,1668
HO50,chr1,2189099,2190294,1195
HO51,chr1,2194416,2195514,1098
HO52,chr1,2204218,2205872,1654
HO53,chr1,2212139,2213469,1330
HO54,chr1,2226927,2229584,2657
HO55,chr1,2230370,2230940,570
HO56,chr1,2278864,2279910,1046
HO57,chr1,2314163,2315850,1687
HO58,chr1,2321835,2323179,1344
HO59,chr1,2329879,2331505,1626
HO60,chr1,2390973,2392955,1982
HO61,chr1,2411822,2413540,1718
HO62,chr1,2525630,2527030,1400
HO63,chr1,2585208,2587431,2223
HO64,chr1,2628018,2629817,1799
HO65,chr1,2642175,2643714,1539
HO66,chr1,3068787,3070838,2051
HO67,chr1,3170104,3171589,1485
HO68,chr1,3221094,3222593,1499
HO69,chr1,3312424,3315493,3069
HO70,chr1,3348040,3349975,1935
HO71,chr1,3352048,3353358,1310
HO72,chr1,3454216,3455205,989
HO73,chr1,3530209,3532075,1866
HO74,chr1,3609819,3611951,2132
HO75,chr1,3623923,3625893,1970
HO76,chr1,3649501,3650294,793
HO77,chr1,3745922,3747602,1680
HO78,chr1,3771005,3773649,2644
HO79,chr1,3774404,3775760,1356
HO80,chr1,3795465,3797010,1545
HO81,chr1,3856401,3858495,2094
HO82,chr1,3899561,3901592,2031
HO83,chr1,4655579,4656746,1167
HO84,chr1,5966445,5967994,1549
HO85,chr1,5991009,5993260,2251
HO86,chr1,6033923,6035894,1971
HO87,chr1,6179003,6181772,2769
HO88,chr1,6198805,6200139,1334
HO89,chr1,6204912,6206524,1612
HO90,chr1,6208619,6209544,925
HO91,chr1,6235096,6236343,1247
HO92,chr1,6244864,6245705,841
HO93,chr1,6259594,6262064,2470
HO94,chr1,6275933,6277060,1127
HO95,chr1,6392682,6394216,1534
HO96,chr1,6423295,6425224,1929
HO97,chr1,6454292,6456189,1897
HO98,chr1,6484874,6486828,1954
HO99,chr1,6489735,6491120,1385
HO100,chr1,6496982,6497885,903
HO101,chr1,6553664,6554802,1138
HO102,chr1,6579201,6581129,1928
HO103,chr1,6600849,6604167,3318
HO104,chr1,6612658,6615428,2770
HO105,chr1,6624592,6626037,1445
HO106,chr1,6700837,6702260,1423
HO107,chr1,6784169,6786469,2300
HO108,chr1,6956355,6957146,791
HO109,chr1,6961821,6963713,1892
HO110,chr1,7536722,7537666,944
HO111,chr1,7669260,7670644,1384
HO112,chr1,7679621,7681198,1577
HO113,chr1,7703744,7706313,2569
HO114,chr1,7770562,7772012,1450
HO115,chr1,7783171,7784721,1550
HO116,chr1,7953644,7954635,991
HO117,chr1,7960952,7962255,1303
HO118,chr1,8025364,8027039,1675
HO119,chr1,8407603,8409517,1914
HO120,chr1,8422303,8425073,2770
HO121,chr1,8438342,8439799,1457
HO122,chr1,8525196,8526301,1105
HO123,chr1,8700289,8702278,1989
HO124,chr1,8702782,8703759,977
HO125,chr1,8816434,8818239,1805
HO126,chr1,8869058,8869872,814
HO127,chr1,8877765,8879647,1882
HO128,chr1,9110539,9111213,674
HO129,chr1,9127389,9129974,2585
HO130,chr1,9181103,9183428,2325
HO131,chr1,9195706,9197427,1721
HO132,chr1,9234093,9235482,1389
HO133,chr1,9249414,9252089,2675
HO134,chr1,9291858,9293943,2085
HO135,chr1,9371202,9372170,968
HO136,chr1,9428432,9430260,1828
HO137,chr1,9538765,9540358,1593
HO138,chr1,9588175,9589666,1491
HO139,chr1,9651424,9652758,1334
HO140,chr1,9687083,9688109,1026
HO141,chr1,9688922,9690314,1392
HO142,chr1,9822885,9824770,1885
HO143,chr1,9835212,9836630,1418
HO144,chr1,9909212,9911212,2000
HO145,chr1,9942370,9943821,1451
HO146,chr1,10032296,10033840,1544
HO147,chr1,10209686,10212125,2439
HO148,chr1,10377219,10379228,2009
HO149,chr1,10398218,10399959,1741
HO150,chr1,10429851,10431361,1510
HO151,chr1,10471717,10472847,1130
HO152,chr1,10474579,10475613,1034
HO153,chr1,10530180,10531480,1300
HO154,chr1,10638138,10639777,1639
HO155,chr1,10663213,10664090,877
HO156,chr1,10693560,10695322,1762
HO157,chr1,10793666,10795555,1889
HO158,chr1,10796075,10796931,856
HO159,chr1,10835612,10836288,676
HO160,chr1,10866363,10868275,1912
HO161,chr1,10888296,10891455,3159
HO162,chr1,11011757,11013413,1656
HO163,chr1,11059176,11060981,1805
HO164,chr1,11099117,11100252,1135
HO165,chr1,11261750,11262992,1242
HO166,chr1,11272380,11273864,1484
HO167,chr1,11337497,11338521,1024
HO168,chr1,11339226,11340286,1060
HO169,chr1,11478456,11480680,2224
HO170,chr1,11653855,11655173,1318
HO171,chr1,11663851,11665266,1415
HO172,chr1,11680366,11681947,1581
HO173,chr1,11690448,11692659,2211
HO174,chr1,11735525,11737068,1543
HO175,chr1,11784508,11785455,947
HO176,chr1,11803039,11803961,922
HO177,chr1,11804817,11806553,1736
HO178,chr1,11907527,11910006,2479
HO179,chr1,11925711,11926734,1023
HO180,chr1,11933994,11935095,1101
HO181,chr1,11979560,11980918,1358
HO182,chr1,12018894,12020110,1216
HO183,chr1,12229426,12231418,1992
HO184,chr1,12477656,12478966,1310
HO185,chr1,12548677,12550259,1582
HO186,chr1,12594873,12596706,1833
HO187,chr1,12615730,12617367,1637
HO188,chr1,12617673,12618761,1088
HO189,chr1,12618968,12620142,1174
HO190,chr1,13583514,13584750,1236
HO191,chr1,13699571,13701136,1565
HO192,chr1,13748618,13750118,1500
HO193,chr1,13892191,13893640,1449
HO194,chr1,14597673,14599737,2064
HO195,chr1,14923713,14925347,1634
HO196,chr1,15088048,15090829,2781
HO197,chr1,15152260,15155037,2777
HO198,chr1,15246818,15247731,913
HO199,chr1,15409022,15410809,1787
HO200,chr1,15523834,15525499,1665
HO201,chr1,15526374,15527233,859
HO202,chr1,15602888,15604024,1136
HO203,chr1,15616659,15618306,1647
HO204,chr1,15758241,15759634,1393
HO205,chr1,15834119,15836415,2296
HO206,chr1,15846982,15848891,1909
HO207,chr1,15849079,15850276,1197
HO208,chr1,15885306,15887046,1740
HO209,chr1,15948944,15950325,1381
HO210,chr1,15974910,15976299,1389
HO211,chr1,16017387,16018625,1238
HO212,chr1,16055574,16056464,890
HO213,chr1,16144916,16146861,1945
HO214,chr1,16154608,16156435,1827
HO215,chr1,16167226,16168355,1129
HO216,chr1,16206172,16207351,1179
HO217,chr1,16216925,16218107,1182
HO218,chr1,16236097,16237639,1542
HO219,chr1,16350871,16352923,2052
HO220,chr1,16366698,16368383,1685
HO221,chr1,16440128,16441558,1430
HO222,chr1,16498492,16499926,1434
HO223,chr1,16513424,16514774,1350
HO224,chr1,16612004,16614016,2012
HO225,chr1,16643709,16645612,1903
HO226,chr1,16872150,16873768,1618
HO227,chr1,16888546,16889890,1344
HO228,chr1,16895158,16897310,2152
HO229,chr1,16903597,16905805,2208
HO230,chr1,16913249,16914692,1443
HO231,chr1,16960307,16962010,1703
HO232,chr1,16979538,16980863,1325
HO233,chr1,17010601,17012307,1706
HO234,chr1,17053282,17054734,1452
HO235,chr1,17437151,17440090,2939
HO236,chr1,17538048,17541043,2995
HO237,chr1,18383995,18386086,2091
HO238,chr1,18901855,18903474,1619
HO239,chr1,18955363,18957479,2116
HO240,chr1,19209229,19211055,1826
HO241,chr1,19250992,19252508,1516
HO242,chr1,19311045,19312923,1878
HO243,chr1,19484198,19486187,1989
HO244,chr1,19596151,19597816,1665
HO245,chr1,19643518,19645494,1976
HO246,chr1,19659430,19660114,684
HO247,chr1,19708393,19709585,1192
HO248,chr1,19881887,19883097,1210
HO249,chr1,19921295,19922669,1374
HO250,chr1,19974657,19976154,1497
HO251,chr1,20185324,20186831,1507
HO252,chr1,20290335,20292053,1718
HO253,chr1,20342794,20344168,1374
HO254,chr1,20483688,20484776,1088
HO255,chr1,20485233,20487165,1932
HO256,chr1,20507093,20508431,1338
HO257,chr1,20551907,20554035,2128
HO258,chr1,20633002,20634864,1862
HO259,chr1,20660694,20662265,1571
HO260,chr1,20696076,20697370,1294
HO261,chr1,20717224,20718332,1108
HO262,chr1,20731321,20733404,2083
HO263,chr1,20785995,20788159,2164
HO264,chr1,21175359,21177415,2056
HO265,chr1,21261630,21263248,1618
HO266,chr1,21268202,21270514,2312
HO267,chr1,21289422,21290938,1516
HO268,chr1,21324090,21325732,1642
HO269,chr1,21344130,21346200,2070
HO270,chr1,21439560,21440753,1193
HO271,chr1,21508607,21510235,1628
HO272,chr1,21618290,21619492,1202
HO273,chr1,21651052,21652369,1317
HO274,chr1,21658957,21659716,759
HO275,chr1,21668377,21670196,1819
HO276,chr1,21781621,21783966,2345
HO277,chr1,21914173,21915508,1335
HO278,chr1,21936691,21937937,1246
HO279,chr1,22024450,22026401,1951
HO280,chr1,22052116,22053857,1741
HO281,chr1,22121117,22121929,812
HO282,chr1,22141439,22143789,2350
HO283,chr1,22262409,22263060,651
HO284,chr1,22267506,22268303,797
HO285,chr1,22341777,22343050,1273
HO286,chr1,22349314,22351923,2609
HO287,chr1,22451152,22452826,1674
HO288,chr1,22684789,22686183,1394
HO289,chr1,22709796,22712031,2235
HO290,chr1,22791725,22793109,1384
HO291,chr1,23018769,23020444,1675
HO292,chr1,23167169,23169045,1876
HO293,chr1,23177124,23178574,1450
HO294,chr1,23216529,23218016,1487
HO295,chr1,23343275,23345158,1883
HO296,chr1,23367825,23370106,2281
HO297,chr1,23403469,23404260,791
HO298,chr1,23411350,23412459,1109
HO299,chr1,23421750,23425243,3493
HO300,chr1,23482954,23485061,2107
HO301,chr1,23530475,23531969,1494
HO302,chr1,23539490,23540269,779
HO303,chr1,23554318,23555314,996
HO304,chr1,23558966,23560107,1141
HO305,chr1,23561968,23562713,745
HO306,chr1,23567657,23569925,2268
HO307,chr1,23691285,23692374,1089
HO308,chr1,23742776,23744231,1455
HO309,chr1,23777746,23778854,1108
HO310,chr1,23790718,23792101,1383
HO311,chr1,23799450,23801416,1966
HO312,chr1,23824738,23825799,1061
HO313,chr1,23867562,23868903,1341
HO314,chr1,23958686,23960369,1683
HO315,chr1,23979488,23980704,1216
HO316,chr1,24018362,24019340,978
HO317,chr1,24102926,24103904,978
HO318,chr1,24150138,24151623,1485
HO319,chr1,24186675,24188015,1340
HO320,chr1,24321440,24322985,1545
HO321,chr1,24413137,24414001,864
HO322,chr1,24415198,24416335,1137
HO323,chr1,24501825,24503584,1759
HO324,chr1,24641713,24644160,2447
HO325,chr1,24744648,24746361,1713
HO326,chr1,24847701,24848830,1129
HO327,chr1,25231894,25233431,1537
HO328,chr1,25239245,25240472,1227
HO329,chr1,25245926,25248062,2136
HO330,chr1,25337923,25339468,1545
HO331,chr1,25429836,25431770,1934
HO332,chr1,25543137,25544308,1171
HO333,chr1,25615691,25618356,2665
HO334,chr1,25799384,25800873,1489
HO335,chr1,25818995,25821121,2126
HO336,chr1,25858689,25860232,1543
HO337,chr1,25874623,25876276,1653
HO338,chr1,25895086,25895852,766
HO339,chr1,25904992,25907211,2219
HO340,chr1,25922052,25924002,1950
HO341,chr1,25996922,25998996,2074
HO342,chr1,26034887,26036859,1972
HO343,chr1,26110577,26112603,2026
HO344,chr1,26161220,26162224,1004
HO345,chr1,26169239,26170391,1152
HO346,chr1,26188492,26190798,2306
HO347,chr1,26200663,26202115,1452
HO348,chr1,26224557,26225927,1370
HO349,chr1,26233463,26235264,1801
HO350,chr1,26279402,26280615,1213
HO351,chr1,26305807,26307211,1404
HO352,chr1,26335946,26337245,1299
HO353,chr1,26431563,26432704,1141
HO354,chr1,26471448,26473357,1909
HO355,chr1,26500002,26501749,1747
HO356,chr1,26529216,26530714,1498
HO357,chr1,26619891,26621781,1890
HO358,chr1,26692178,26693462,1284
HO359,chr1,26695241,26696385,1144
HO360,chr1,26697882,26698624,742
HO361,chr1,26723017,26724370,1353
HO362,chr1,26786613,26788529,1916
HO363,chr1,26826033,26827984,1951
HO364,chr1,26864155,26865978,1823
HO365,chr1,26889524,26890851,1327
HO366,chr1,26899653,26900787,1134
HO367,chr1,26921064,26922465,1401
HO368,chr1,26959489,26960762,1273
HO369,chr1,26993043,26995148,2105
HO370,chr1,27011867,27013409,1542
HO371,chr1,27031092,27032130,1038
HO372,chr1,27070460,27071569,1109
HO373,chr1,27111698,27112624,926
HO374,chr1,27154526,27155630,1104
HO375,chr1,27233805,27235737,1932
HO376,chr1,27299329,27301233,1904
HO377,chr1,27306791,27308224,1433
HO378,chr1,27321771,27322759,988
HO379,chr1,27349185,27350189,1004
HO380,chr1,27350435,27351698,1263
HO381,chr1,27356749,27357862,1113
HO382,chr1,27365275,27367258,1983
HO383,chr1,27382423,27383559,1136
HO384,chr1,27391378,27392887,1509
HO385,chr1,27489495,27490759,1264
HO386,chr1,27496503,27497611,1108
HO387,chr1,27503850,27505576,1726
HO388,chr1,27526914,27529531,2617
HO389,chr1,27556697,27558223,1526
HO390,chr1,27568159,27569292,1133
HO391,chr1,27574196,27576198,2002
HO392,chr1,27600313,27600695,382
HO393,chr1,27601769,27602713,944
HO394,chr1,27602961,27604519,1558
HO395,chr1,27658837,27660340,1503
HO396,chr1,27671725,27672619,894
HO397,chr1,27724523,27726658,2135
HO398,chr1,27772647,27774015,1368
HO399,chr1,27829846,27831448,1602
HO400,chr1,27914008,27915134,1126
HO401,chr1,27959324,27960559,1235
HO402,chr1,28087608,28088971,1363
HO403,chr1,28232515,28233188,673
HO404,chr1,28235539,28237189,1650
HO405,chr1,28246389,28247585,1196
HO406,chr1,28258631,28260827,2196
HO407,chr1,28296190,28297362,1172
HO408,chr1,28328283,28329741,1458
HO409,chr1,28369104,28370647,1543
HO410,chr1,28505383,28506685,1302
HO411,chr1,28517656,28519019,1363
HO412,chr1,28552340,28553748,1408
HO413,chr1,28580897,28582534,1637
HO414,chr1,28642108,28643548,1440
HO415,chr1,28647945,28649533,1588
HO416,chr1,28668164,28670101,1937
HO417,chr1,28736050,28738081,2031
HO418,chr1,28774730,28775637,907
HO419,chr1,28881886,28882441,555
HO420,chr1,28886698,28888462,1764
HO421,chr1,28913787,28915650,1863
HO422,chr1,29121203,29125401,4198
HO423,chr1,29156206,29157545,1339
HO424,chr1,29180950,29182572,1622
HO425,chr1,29230433,29231192,759
HO426,chr1,29236027,29236844,817
HO427,chr1,29237153,29238563,1410
HO428,chr1,29259111,29260470,1359
HO429,chr1,30378899,30380668,1769
HO430,chr1,30684976,30686019,1043
HO431,chr1,30707618,30708431,813
HO432,chr1,30717753,30719554,1801
HO433,chr1,30782323,30783567,1244
HO434,chr1,30823822,30824961,1139
HO435,chr1,30895355,30896521,1166
HO436,chr1,31064704,31066153,1449
HO437,chr1,31154412,31155834,1422
HO438,chr1,31181282,31182761,1479
HO439,chr1,31214689,31216598,1909
HO440,chr1,31238620,31240197,1577
HO441,chr1,31296249,31298109,1860
HO442,chr1,31372604,31374071,1467
HO443,chr1,31412816,31414842,2026
HO444,chr1,31510810,31511728,918
HO445,chr1,31548376,31549954,1578
HO446,chr1,31587756,31589304,1548
HO447,chr1,31617453,31618472,1019
HO448,chr1,31625978,31628412,2434
HO449,chr1,31644128,31645464,1336
