chromosome,start,end,peaks,peak_count,producer
chr1,629800,630038,HO1_PS,1,only PS
chr1,909894,911545,"HO6_XX,HO7_PS",2,"only XX, only PS"
chr1,959935,961478,"HO12_PS,HO13_XX",2,"only XX, only PS"
chr1,1237117,1238682,HO32_PS,1,only PS
chr1,1249589,1250492,"HO33_PS,HO39_XX",2,"only XX, only PS"
chr1,1281287,1282398,HO35_PS,1,only PS
chr1,1683064,1684377,"HO60_PS,HO77_XX",2,"only XX, only PS"
chr1,1763670,1764611,HO63_PS,1,only PS
chr1,1946182,1947029,HO70_PS,1,only PS
chr1,2135082,2135903,"HO79_PS,HO99_XX",2,"only XX, only PS"
chr1,2207228,2207998,"HO105_XX,HO83_PS",2,"only XX, only PS"
chr1,2234369,2234988,HO86_PS,1,only PS
chr1,2237122,2238038,"HO110_XX,HO87_PS",2,"only XX, only PS"
chr1,2239693,2240830,"HO111_XX,HO88_PS",2,"only XX, only PS"
chr1,2380934,2382236,"HO121_XX,HO92_PS",2,"only XX, only PS"
chr1,2474005,2475539,HO97_PS,1,only PS
chr1,2529060,2529717,"HO131_XX,HO99_PS",2,"only XX, only PS"
chr1,2543471,2545201,HO100_PS,1,only PS
chr1,2577774,2578818,HO102_PS,1,only PS
chr1,3066181,3066551,HO105_PS,1,only PS
chr1,3218986,3219985,"HO110_PS,HO157_XX",2,"only XX, only PS"
chr1,3365421,3367016,HO115_PS,1,only PS
chr1,3409841,3410802,"HO116_PS,HO166_XX",2,"only XX, only PS"
chr1,3740759,3741909,HO127_PS,1,only PS
chr1,4081763,4084529,HO136_PS,1,only PS
chr1,4421596,4423146,HO137_PS,1,only PS
chr1,5651895,5653153,"HO138_PS,HO205_XX",2,"only XX, only PS"
chr1,5704052,5705507,"HO140_PS,HO207_XX",2,"only XX, only PS"
chr1,5797730,5798626,HO142_PS,1,only PS
chr1,6092032,6093606,"HO148_PS,HO220_XX",2,"only XX, only PS"
chr1,6577779,6578443,HO166_PS,1,only PS
chr1,6615892,6616768,HO171_PS,1,only PS
chr1,6904045,6904979,HO176_PS,1,only PS
chr1,6911475,6913081,"HO177_PS,HO267_XX",2,"only XX, only PS"
chr1,6922113,6923215,HO178_PS,1,only PS
chr1,7096859,7097725,HO183_PS,1,only PS
chr1,7478125,7479263,HO185_PS,1,only PS
chr1,8885235,8885923,HO210_PS,1,only PS
chr1,9064192,9065740,HO213_PS,1,only PS
chr1,9188916,9190120,HO217_PS,1,only PS
chr1,9198420,9199039,"HO219_PS,HO339_XX",2,"only XX, only PS"
chr1,9322626,9323379,HO224_PS,1,only PS
chr1,9351852,9353428,"HO225_PS,HO351_XX",2,"only XX, only PS"
chr1,9383788,9385291,"HO226_PS,HO354_XX",2,"only XX, only PS"
chr1,9443687,9444412,"HO228_PS,HO359_XX",2,"only XX, only PS"
chr1,9593298,9594196,"HO231_PS,HO362_XX",2,"only XX, only PS"
chr1,9606498,9607907,HO232_PS,1,only PS
chr1,9607964,9608825,HO233_PS,1,only PS
chr1,10196299,10197605,"HO245_PS,HO378_XX",2,"only XX, only PS"
chr1,10339440,10340143,HO247_PS,1,only PS
chr1,10436311,10437387,HO251_PS,1,only PS
chr1,10555537,10556710,HO255_PS,1,only PS
chr1,11746770,11747721,HO274_PS,1,only PS
chr1,11966577,11967523,HO282_PS,1,only PS
chr1,12014186,12014950,HO284_PS,1,only PS
chr1,12336266,12337032,HO287_PS,1,only PS
chr1,13512526,13514291,"HO293_PS,HO471_XX",2,"only XX, only PS"
chr1,13548777,13550032,HO294_PS,1,only PS
chr1,13813503,13814734,HO298_PS,1,only PS
chr1,15212286,15213822,"HO304_PS,HO494_XX",2,"only XX, only PS"
chr1,15334569,15335736,HO306_PS,1,only PS
chr1,15355701,15356694,"HO307_PS,HO497_XX",2,"only XX, only PS"
chr1,15415915,15416726,HO310_PS,1,only PS
chr1,15475543,15477402,HO312_PS,1,only PS
chr1,16057240,16057914,HO329_PS,1,only PS
chr1,16111520,16113501,HO332_PS,1,only PS
chr1,16114530,16116466,"HO333_PS,HO531_XX",2,"only XX, only PS"
chr1,16175386,16176762,"HO338_PS,HO539_XX",2,"only XX, only PS"
chr1,16624759,16625214,HO351_PS,1,only PS
chr1,17531408,17532492,HO364_PS,1,only PS
chr1,18921672,18922826,"HO368_PS,HO606_XX",2,"only XX, only PS"
chr1,18941062,18942187,HO369_PS,1,only PS
chr1,19007156,19008317,HO371_PS,1,only PS
chr1,19016669,19017742,HO372_PS,1,only PS
chr1,19082573,19083770,HO373_PS,1,only PS
chr1,19232155,19233292,HO375_PS,1,only PS
chr1,19366553,19367508,HO378_PS,1,only PS
chr1,20194740,20196394,HO395_PS,1,only PS
chr1,20472991,20473705,"HO397_PS,HO655_XX",2,"only XX, only PS"
chr1,20487823,20488392,HO400_PS,1,only PS
chr1,21117179,21118306,HO409_PS,1,only PS
chr1,21216637,21218591,HO411_PS,1,only PS
chr1,21332485,21333166,HO417_PS,1,only PS
chr1,21537210,21538759,"HO421_PS,HO689_XX",2,"only XX, only PS"
chr1,21586510,21587442,"HO423_PS,HO692_XX",2,"only XX, only PS"
chr1,21607520,21608307,HO424_PS,1,only PS
chr1,21764550,21765402,HO428_PS,1,only PS
chr1,22952854,22954734,"HO440_PS,HO742_XX",2,"only XX, only PS"
chr1,23528018,23528960,"HO452_PS,HO757_XX",2,"only XX, only PS"
chr1,23529575,23530271,HO453_PS,1,only PS
chr1,23771138,23772588,"HO464_PS,HO770_XX",2,"only XX, only PS"
chr1,24119785,24121022,"HO478_PS,HO790_XX",2,"only XX, only PS"
chr1,24435643,24436383,HO485_PS,1,only PS
chr1,24442746,24443722,HO486_PS,1,only PS
chr1,24575808,24576664,HO489_PS,1,only PS
chr1,24593832,24594586,HO490_PS,1,only PS
chr1,24618643,24619932,HO491_PS,1,only PS
chr1,24683286,24684235,HO493_PS,1,only PS
chr1,25167201,25169099,"HO498_PS,HO816_XX",2,"only XX, only PS"
chr1,25368716,25369866,HO503_PS,1,only PS
chr1,25770627,25772151,"HO507_PS,HO830_XX",2,"only XX, only PS"
chr1,25834446,25837036,HO510_PS,1,only PS
chr1,25871000,25871763,HO512_PS,1,only PS
chr1,25879441,25880350,HO514_PS,1,only PS
chr1,25932728,25934598,"HO518_PS,HO842_XX",2,"only XX, only PS"
chr1,26275555,26276491,"HO529_PS,HO863_XX",2,"only XX, only PS"
chr1,26320885,26321914,"HO532_PS,HO866_XX",2,"only XX, only PS"
chr1,26541526,26543163,HO538_PS,1,only PS
chr1,26554970,26556518,HO539_PS,1,only PS
chr1,27271934,27272839,"HO562_PS,HO902_XX",2,"only XX, only PS"
chr1,27380841,27381667,HO568_PS,1,only PS
chr1,27394931,27395761,"HO571_PS,HO914_XX",2,"only XX, only PS"
chr1,27563402,27563919,HO578_PS,1,only PS
chr1,27638100,27638764,HO584_PS,1,only PS
chr1,27866795,27867645,HO593_PS,1,only PS
chr1,27940819,27942403,HO597_PS,1,only PS
chr1,28224751,28225742,HO600_PS,1,only PS
chr1,28400245,28402224,"HO608_PS,HO966_XX",2,"only XX, only PS"
chr1,28750853,28752057,HO618_PS,1,only PS
chr1,28784802,28785783,"HO620_PS,HO978_XX",2,"only XX, only PS"
chr1,28884330,28885302,"HO622_PS,HO985_XX",2,"only XX, only PS"
chr1,29133586,29135144,HO627_PS,1,only PS
chr1,30847209,30847880,HO639_PS,1,only PS
chr1,31170284,31171342,"HO1034_XX,HO643_PS",2,"only XX, only PS"
chr1,31368399,31369119,HO647_PS,1,only PS
chr1,31374528,31375156,HO649_PS,1,only PS
chr1,31568475,31569993,"HO1045_XX,HO653_PS",2,"only XX, only PS"
chr1,31575377,31576652,"HO1047_XX,HO655_PS",2,"only XX, only PS"
chr1,31583601,31584442,HO656_PS,1,only PS
chr1,31695642,31696587,HO662_PS,1,only PS
chr1,31700768,31701895,"HO1056_XX,HO663_PS",2,"only XX, only PS"
chr1,31736474,31737122,HO666_PS,1,only PS
chr1,31745148,31746090,"HO1063_XX,HO667_PS",2,"only XX, only PS"
chr1,31750823,31752674,"HO1064_XX,HO668_PS",2,"only XX, only PS"
